"ID","P.Value","t","logFC","Gene.symbol","Gene.title","Gene.ID"
"1554748_at",7.89e-09,12.4,1.85,"CLCNKB","chloride voltage-gated channel Kb","1188"
"203786_s_at",9.5e-09,-12.2,-1.52,"TPD52L1","tumor protein D52-like 1","7164"
"220723_s_at",9.55e-09,12.2,3.23,"CWH43","cell wall biogenesis 43 C-terminal homolog","80157"
"202350_s_at",9.89e-09,12.2,2.34,"LOC100506558///MATN2","uncharacterized LOC100506558///matrilin 2","100506558///4147"
"230802_at",1.02e-08,12.1,1.2,"ARHGAP24","Rho GTPase activating protein 24","83478"
"227240_at",1.03e-08,-12.1,-3.36,"NGEF","neuronal guanine nucleotide exchange factor","25791"
"228579_at",1.07e-08,-12.1,-2.57,"KCNQ3","potassium voltage-gated channel subfamily Q member 3","3786"
"230673_at",1.45e-08,11.8,4.27,"PKHD1L1","polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1","93035"
"202528_at",1.6e-08,-11.7,-1.82,"GALE","UDP-galactose-4-epimerase","2582"
"203717_at",1.69e-08,-11.7,-3.06,"DPP4","dipeptidyl peptidase 4","1803"
"227088_at",1.76e-08,-11.6,-2.07,"PDE5A","phosphodiesterase 5A","8654"
"228546_at",2.02e-08,11.5,2.93,"DPP6","dipeptidyl peptidase like 6","1804"
"229032_at",2.64e-08,11.3,3.61,"WSCD2","WSC domain containing 2","9671"
"232067_at",2.97e-08,-11.1,-1.56,"FAXC","failed axon connections homolog","84553"
"205498_at",3.01e-08,11.1,1.66,"GHR","growth hormone receptor","2690"
"227618_at",3.09e-08,-11.1,-1.77,"NHSL2","NHS like 2","340527"
"200701_at",3.13e-08,-11.1,-1.46,"NPC2","NPC intracellular cholesterol transporter 2","10577"
"221701_s_at",3.29e-08,-11.1,-3.85,"STRA6","stimulated by retinoic acid 6","64220"
"219077_s_at",3.79e-08,10.9,1.51,"WWOX","WW domain containing oxidoreductase","51741"
"236038_at",4.05e-08,10.9,2.12,"RNF150","ring finger protein 150","57484"
"206300_s_at",4.32e-08,10.8,1.7,"PTHLH","parathyroid hormone like hormone","5744"
"204124_at",4.42e-08,-10.8,-4.15,"SLC34A2","solute carrier family 34 member 2","10568"
"208399_s_at",4.49e-08,10.8,3.59,"EDN3","endothelin 3","1908"
"204623_at",4.79e-08,10.7,4.06,"TFF3","trefoil factor 3","7033"
"225575_at",4.93e-08,10.7,2.48,"LIFR","leukemia inhibitory factor receptor alpha","3977"
"235746_s_at",5.06e-08,10.7,3.37,"PLA2R1","phospholipase A2 receptor 1","22925"
"202833_s_at",5.59e-08,-10.6,-3.77,"SERPINA1","serpin family A member 1","5265"
"228503_at",5.66e-08,10.6,1.66,"RPS6KA6","ribosomal protein S6 kinase A6","27330"
"1554438_at",5.8e-08,-10.6,-1.03,"KIAA1217","KIAA1217","56243"
"243580_at",6.37e-08,10.5,1.96,"GNA14","G protein subunit alpha 14","9630"
"203710_at",6.69e-08,10.4,1.92,"ITPR1","inositol 1,4,5-trisphosphate receptor type 1","3708"
"1555978_s_at",6.82e-08,10.4,1.65,"MYL12A","myosin light chain 12A","10627"
"214044_at",7.22e-08,10.4,2.36,"RYR2","ryanodine receptor 2","6262"
"205413_at",7.6e-08,10.3,3.52,"MPPED2","metallophosphoesterase domain containing 2","744"
"207981_s_at",8.07e-08,10.3,2.12,"ESRRG","estrogen related receptor gamma","2104"
"226237_at",9.08e-08,-10.2,-1.49,"COL8A1","collagen type VIII alpha 1 chain","1295"
"244632_at",9.1e-08,10.2,2.28,"CNTN5","contactin 5","53942"
"220724_at",9.48e-08,10.1,1.97,"CWH43","cell wall biogenesis 43 C-terminal homolog","80157"
"228973_at",9.75e-08,10.1,2.11,"DLG2","discs large MAGUK scaffold protein 2","1740"
"240770_at",9.77e-08,10.1,3.06,"TMEM171","transmembrane protein 171","134285"
"203256_at",9.78e-08,-10.1,-2.9,"CDH3","cadherin 3","1001"
"201843_s_at",9.81e-08,10.1,1.9,"EFEMP1","EGF containing fibulin like extracellular matrix protein 1","2202"
"227221_at",9.86e-08,-10.1,-1.8,"ZMAT3","zinc finger matrin-type 3","64393"
"224793_s_at",9.88e-08,-10.1,-1.18,"TGFBR1","transforming growth factor beta receptor 1","7046"
"231358_at",9.9e-08,10.1,2.4,"MRO","maestro","83876"
"205328_at",1.07e-07,-10,-3.61,"CLDN10","claudin 10","9071"
"205174_s_at",1.09e-07,-10,-2.51,"QPCT","glutaminyl-peptide cyclotransferase","25797"
"222581_at",1.13e-07,-10,-1.25,"XPR1","xenotropic and polytropic retrovirus receptor 1","9213"
"214702_at",1.16e-07,-9.97,-3.37,"FN1","fibronectin 1","2335"
"37408_at",1.18e-07,-9.96,-2,"MRC2","mannose receptor C type 2","9902"
"236313_at",1.25e-07,-9.91,-2.99,"CDKN2B","cyclin dependent kinase inhibitor 2B","1030"
"203911_at",1.25e-07,9.91,1.84,"RAP1GAP","RAP1 GTPase activating protein","5909"
"209270_at",1.37e-07,-9.84,-2.87,"LAMB3","laminin subunit beta 3","3914"
"205876_at",1.56e-07,9.73,2.15,"LIFR","leukemia inhibitory factor receptor alpha","3977"
"228585_at",1.67e-07,-9.68,-2.43,"ENTPD1","ectonucleoside triphosphate diphosphohydrolase 1","953"
"236081_at",1.71e-07,9.66,1.13,"SNCA","synuclein alpha","6622"
"214745_at",1.77e-07,9.63,1.94,"PLCH1","phospholipase C eta 1","23007"
"227657_at",1.97e-07,9.55,1.37,"RNF150","ring finger protein 150","57484"
"231008_at",2e-07,-9.54,-1.68,"UNC5CL","unc-5 family C-terminal like","222643"
"220177_s_at",2.23e-07,9.45,2.1,"TMPRSS3","transmembrane protease, serine 3","64699"
"218309_at",2.26e-07,-9.44,-2.02,"CAMK2N1","calcium/calmodulin dependent protein kinase II inhibitor 1","55450"
"228072_at",2.29e-07,-9.43,-2.28,"SYT12","synaptotagmin 12","91683"
"1562811_at",2.42e-07,-9.39,-1.33,"CTD-2194D22.4","uncharacterized LOC101929081","101929081"
"207144_s_at",2.63e-07,-9.32,-3.7,"CITED1","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1","4435"
"211429_s_at",2.77e-07,-9.28,-3.3,"SERPINA1","serpin family A member 1","5265"
"214053_at",2.77e-07,9.28,1.85,"ERBB4","erb-b2 receptor tyrosine kinase 4","2066"
"202733_at",2.77e-07,-9.28,-1.68,"LOC101927705///P4HA2","uncharacterized LOC101927705///prolyl 4-hydroxylase subunit alpha 2","101927705///8974"
"230526_at",2.82e-07,-9.27,-2.45,"TNRC6C-AS1","TNRC6C antisense RNA 1","100131096"
"1560652_at",2.85e-07,9.26,2.48,"IRS4","insulin receptor substrate 4","8471"
"243681_at",2.86e-07,9.26,1.96,"SHANK2","SH3 and multiple ankyrin repeat domains 2","22941"
"236640_at",3.04e-07,-9.21,-1.53,"LOC100507165","uncharacterized LOC100507165","100507165"
"201466_s_at",3.05e-07,9.2,1.6,"JUN","Jun proto-oncogene, AP-1 transcription factor subunit","3725"
"207789_s_at",3.07e-07,9.2,1.65,"DPP6","dipeptidyl peptidase like 6","1804"
"222294_s_at",3.21e-07,-9.17,-1.02,"RAB27A","RAB27A, member RAS oncogene family","5873"
"220203_at",3.22e-07,9.16,2.7,"BMP8A","bone morphogenetic protein 8a","353500"
"1552826_at",3.23e-07,9.16,2.85,"SLC26A7","solute carrier family 26 member 7","115111"
"224598_at",3.25e-07,-9.16,-1.2,"MGAT4B","mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B","11282"
"229168_at",3.43e-07,9.12,1.3,"COL23A1","collagen type XXIII alpha 1 chain","91522"
"221266_s_at",3.49e-07,-9.1,-4.2,"DCSTAMP","dendrocyte expressed seven transmembrane protein","81501"
"209474_s_at",3.51e-07,-9.1,-1.31,"ENTPD1","ectonucleoside triphosphate diphosphohydrolase 1","953"
"219877_at",3.65e-07,9.07,2.73,"ZMAT4","zinc finger matrin-type 4","79698"
"205083_at",3.66e-07,9.07,1.5,"AOX1","aldehyde oxidase 1","316"
"1568892_at",3.9e-07,9.02,1.02,"LOC100996251","uncharacterized LOC100996251","100996251"
"231329_at",4.01e-07,9,1.97,"","",""
"227174_at",4.18e-07,8.96,2.19,"WDR72","WD repeat domain 72","256764"
"209792_s_at",4.37e-07,-8.93,-4.19,"KLK10","kallikrein related peptidase 10","5655"
"1557107_at",4.41e-07,8.92,3.23,"SLC26A4-AS1","SLC26A4 antisense RNA 1","286002"
"229584_at",4.44e-07,-8.92,-2.59,"LRRK2","leucine rich repeat kinase 2","120892"
"206806_at",4.53e-07,8.9,2.58,"DGKI","diacylglycerol kinase iota","9162"
"210414_at",4.62e-07,8.89,1.46,"FLRT1","fibronectin leucine rich transmembrane protein 1","23769"
"211276_at",4.83e-07,8.86,3.12,"TCEAL2","transcription elongation factor A like 2","140597"
"239353_at",4.98e-07,-8.83,-1.45,"STK32A","serine/threonine kinase 32A","202374"
"233587_s_at",5.09e-07,-8.82,-1.05,"SIPA1L2","signal induced proliferation associated 1 like 2","57568"
"230252_at",5.11e-07,-8.81,-3.19,"LPAR5","lysophosphatidic acid receptor 5","57121"
"240236_at",5.18e-07,8.8,2.47,"STXBP5L","syntaxin binding protein 5 like","9515"
"203097_s_at",5.59e-07,8.75,0.627,"RAPGEF2","Rap guanine nucleotide exchange factor 2","9693"
"202609_at",5.66e-07,-8.74,-1.27,"EPS8","epidermal growth factor receptor pathway substrate 8","2059"
"229163_at",5.72e-07,-8.73,-2.41,"CAMK2N1","calcium/calmodulin dependent protein kinase II inhibitor 1","55450"
"220979_s_at",5.81e-07,-8.72,-3.06,"ST6GALNAC5","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5","81849"
"226614_s_at",5.94e-07,8.7,2.09,"FAM167A","family with sequence similarity 167 member A","83648"
"221030_s_at",6.17e-07,8.67,1.98,"ARHGAP24","Rho GTPase activating protein 24","83478"
"1565809_x_at",6.43e-07,-8.64,-3.66,"","",""
"203354_s_at",6.48e-07,-8.64,-2.14,"PSD3","pleckstrin and Sec7 domain containing 3","23362"
"225725_at",6.63e-07,-8.62,-1.4,"ZMAT3","zinc finger matrin-type 3","64393"
"218960_at",7.02e-07,-8.58,-3.21,"TMPRSS4","transmembrane protease, serine 4","56649"
"230197_s_at",7.05e-07,8.57,1.94,"TPPP","tubulin polymerization promoting protein","11076"
"213422_s_at",7.08e-07,-8.57,-1.78,"MXRA8","matrix remodeling associated 8","54587"
"228108_at",7.19e-07,8.56,1.1,"PPM1L","protein phosphatase, Mg2+/Mn2+ dependent 1L","151742"
"1562638_at",7.31e-07,8.55,1.62,"LOC339874","uncharacterized LOC339874","339874"
"242344_at",7.33e-07,-8.55,-4.24,"GABRB2","gamma-aminobutyric acid type A receptor beta2 subunit","2561"
"202239_at",7.62e-07,-8.52,-1.09,"PARP4","poly(ADP-ribose) polymerase family member 4","143"
"230776_at",7.73e-07,8.51,1.93,"RNF157-AS1","RNF157 antisense RNA 1","100507218"
"228080_at",7.93e-07,8.49,1.42,"LAYN","layilin","143903"
"216442_x_at",7.97e-07,-8.49,-2.67,"FN1","fibronectin 1","2335"
"209154_at",8e-07,-8.48,-0.73,"P2RX5-TAX1BP3///TAX1BP3","P2RX5-TAX1BP3 readthrough (NMD candidate)///Tax1 binding protein 3","100533970///30851"
"236634_at",8.21e-07,8.46,1.3,"C8orf48","chromosome 8 open reading frame 48","157773"
"229714_at",8.45e-07,8.44,1.33,"HS6ST3","heparan sulfate 6-O-sulfotransferase 3","266722"
"210495_x_at",8.47e-07,-8.44,-2.7,"FN1","fibronectin 1","2335"
"230863_at",8.5e-07,8.44,2.04,"LRP2","LDL receptor related protein 2","4036"
"222771_s_at",8.54e-07,-8.44,-1.45,"MYEF2","myelin expression factor 2","50804"
"235438_at",8.56e-07,8.43,1.37,"CYP7B1","cytochrome P450 family 7 subfamily B member 1","9420"
"209613_s_at",8.68e-07,8.42,2.74,"ADH1B","alcohol dehydrogenase 1B (class I), beta polypeptide","125"
"1552283_s_at",8.73e-07,8.42,1.33,"ZDHHC11B///ZDHHC11","zinc finger DHHC-type containing 11B///zinc finger DHHC-type containing 11","653082///79844"
"208949_s_at",8.73e-07,-8.42,-2.06,"LGALS3","lectin, galactoside binding soluble 3","3958"
"206429_at",8.91e-07,8.4,0.885,"F2RL1","F2R like trypsin receptor 1","2150"
"1553175_s_at",8.98e-07,-8.4,-1.94,"PDE5A","phosphodiesterase 5A","8654"
"207415_at",9.06e-07,8.39,1.23,"PLA2R1","phospholipase A2 receptor 1","22925"
"231181_at",9.13e-07,8.39,4.76,"","",""
"227771_at",9.35e-07,8.37,1.59,"LIFR","leukemia inhibitory factor receptor alpha","3977"
"225728_at",9.4e-07,8.37,1.97,"SORBS2","sorbin and SH3 domain containing 2","8470"
"238835_at",9.4e-07,8.37,2.4,"AVPR1A","arginine vasopressin receptor 1A","552"
"208161_s_at",9.68e-07,-8.34,-2.65,"ABCC3","ATP binding cassette subfamily C member 3","8714"
"244825_at",9.73e-07,-8.34,-1.85,"SHROOM4","shroom family member 4","57477"
"230346_x_at",9.8e-07,-8.34,-0.732,"","",""
"204401_at",9.91e-07,-8.33,-2.33,"KCNN4","potassium calcium-activated channel subfamily N member 4","3783"
"1557122_s_at",1.01e-06,-8.31,-4.09,"GABRB2","gamma-aminobutyric acid type A receptor beta2 subunit","2561"
"228457_at",1.02e-06,8.3,0.995,"PPM1L","protein phosphatase, Mg2+/Mn2+ dependent 1L","151742"
"210342_s_at",1.04e-06,8.29,4.23,"TPO","thyroid peroxidase","7173"
"204042_at",1.06e-06,8.28,1.68,"WASF3","WAS protein family member 3","10810"
"225522_at",1.09e-06,8.26,1.01,"AAK1","AP2 associated kinase 1","22848"
"218412_s_at",1.11e-06,-8.25,-0.736,"GTF2IRD1","GTF2I repeat domain containing 1","9569"
"214391_x_at",1.12e-06,8.24,1.08,"PTGER1","prostaglandin E receptor 1","5731"
"244788_at",1.14e-06,-8.23,-0.844,"","",""
"212992_at",1.17e-06,-8.21,-2.65,"AHNAK2","AHNAK nucleoprotein 2","113146"
"203632_s_at",1.23e-06,-8.17,-1.33,"GPRC5B","G protein-coupled receptor class C group 5 member B","51704"
"230419_at",1.25e-06,8.16,1.33,"SOX9-AS1","SOX9 antisense RNA 1","400618"
"235210_s_at",1.27e-06,8.15,1.52,"SBSPON","somatomedin B and thrombospondin type 1 domain containing","157869"
"241604_at",1.28e-06,-8.15,-1.48,"ATP11A","ATPase phospholipid transporting 11A","23250"
"235759_at",1.3e-06,8.13,1.86,"","",""
"205382_s_at",1.3e-06,8.13,1.9,"CFD","complement factor D","1675"
"242883_at",1.33e-06,8.12,3.03,"OTOS","otospiralin","150677"
"202454_s_at",1.33e-06,-8.12,-1.92,"ERBB3","erb-b2 receptor tyrosine kinase 3","2065"
"225759_x_at",1.34e-06,8.11,0.983,"CLMN","calmin","79789"
"211719_x_at",1.37e-06,-8.1,-2.74,"FN1","fibronectin 1","2335"
"203766_s_at",1.38e-06,8.09,2.55,"LMOD1","leiomodin 1","25802"
"203510_at",1.41e-06,-8.08,-1.81,"MET","MET proto-oncogene, receptor tyrosine kinase","4233"
"219643_at",1.42e-06,8.07,2.07,"LRP1B","LDL receptor related protein 1B","53353"
"209501_at",1.47e-06,8.05,0.997,"LOC101060399///CDR2","cerebellar degeneration-related protein 2///cerebellar degeneration related protein 2","101060399///1039"
"214620_x_at",1.49e-06,-8.04,-0.895,"PAM","peptidylglycine alpha-amidating monooxygenase","5066"
"242220_at",1.5e-06,8.04,0.819,"SPTBN1","spectrin beta, non-erythrocytic 1","6711"
"225520_at",1.5e-06,-8.03,-1.23,"LOC101928195///LOC100996643///MTHFD1L","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like pseudogene///monofunctional C1-tetrahydrofolate synthase, mitochondrial-like///methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like","101928195///100996643///25902"
"232676_x_at",1.51e-06,-8.03,-1.44,"MYEF2","myelin expression factor 2","50804"
"218313_s_at",1.64e-06,-7.97,-1.72,"GALNT7","polypeptide N-acetylgalactosaminyltransferase 7","51809"
"204040_at",1.64e-06,-7.97,-1.17,"RNF144A","ring finger protein 144A","9781"
"201034_at",1.66e-06,7.96,0.763,"ADD3","adducin 3","120"
"229024_at",1.66e-06,7.96,1.03,"RNF150","ring finger protein 150","57484"
"208025_s_at",1.66e-06,-7.96,-3.06,"HMGA2","high mobility group AT-hook 2","8091"
"230425_at",1.67e-06,7.96,1.71,"EPHB1","EPH receptor B1","2047"
"222054_at",1.69e-06,7.95,2.25,"PPIEL","peptidylprolyl isomerase E like pseudogene","728448"
"204120_s_at",1.75e-06,-7.92,-0.906,"ADK","adenosine kinase","132"
"221874_at",1.76e-06,7.92,2.78,"KIAA1324","KIAA1324","57535"
"219743_at",1.79e-06,-7.91,-1.57,"HEY2","hes related family bHLH transcription factor with YRPW motif 2","23493"
"232603_at",1.81e-06,7.9,1.8,"DCDC5///DCDC1","doublecortin domain containing 5///doublecortin domain containing 1","100506627///341019"
"202908_at",1.82e-06,7.9,1.16,"WFS1","wolframin ER transmembrane glycoprotein","7466"
"221636_s_at",1.86e-06,7.88,1.3,"Mar-02","mitochondrial amidoxime reducing component 2","54996"
"214162_at",1.93e-06,7.86,2.11,"ASXL3","additional sex combs like 3, transcriptional regulator","80816"
"212868_x_at",1.94e-06,7.86,1.33,"MAPKAPK5-AS1","MAPKAPK5 antisense RNA 1","51275"
"205350_at",1.94e-06,7.85,3.76,"CRABP1","cellular retinoic acid binding protein 1","1381"
"209576_at",2.02e-06,7.83,0.774,"GNAI1","G protein subunit alpha i1","2770"
"243837_x_at",2.06e-06,-7.81,-1.74,"","",""
"219277_s_at",2.11e-06,7.8,1.55,"OGDHL","oxoglutarate dehydrogenase-like","55753"
"213307_at",2.11e-06,7.8,1.34,"SHANK2","SH3 and multiple ankyrin repeat domains 2","22941"
"221016_s_at",2.12e-06,7.79,0.881,"TCF7L1","transcription factor 7 like 1","83439"
"230447_at",2.14e-06,-7.79,-1.44,"FAXC","failed axon connections homolog","84553"
"227642_at",2.16e-06,7.78,2.36,"TFCP2L1","transcription factor CP2-like 1","29842"
"221646_s_at",2.2e-06,7.77,1.4,"ZDHHC11B///ZDHHC11","zinc finger DHHC-type containing 11B///zinc finger DHHC-type containing 11","653082///79844"
"218888_s_at",2.22e-06,7.76,1.03,"NETO2","neuropilin and tolloid like 2","81831"
"213107_at",2.23e-06,-7.76,-1.35,"TNIK","TRAF2 and NCK interacting kinase","23043"
"212464_s_at",2.27e-06,-7.75,-2.87,"FN1","fibronectin 1","2335"
"201650_at",2.29e-06,-7.74,-1.95,"KRT19","keratin 19","3880"
"204796_at",2.34e-06,7.73,1.16,"EML1","echinoderm microtubule associated protein like 1","2009"
"215380_s_at",2.35e-06,-7.72,-1.76,"GGCT","gamma-glutamylcyclotransferase","79017"
"227081_at",2.39e-06,7.71,1.94,"DNALI1","dynein axonemal light intermediate chain 1","7802"
"216839_at",2.48e-06,-7.69,-1.79,"LAMA2","laminin subunit alpha 2","3908"
"229927_at",2.81e-06,-7.6,-1.26,"LEMD1","LEM domain containing 1","93273"
"222953_at",2.83e-06,7.6,1.38,"GPR83","G protein-coupled receptor 83","10888"
"1557113_at",2.93e-06,7.57,1.44,"LOC283588","uncharacterized LOC283588","283588"
"204513_s_at",2.95e-06,7.57,2.03,"ELMO1","engulfment and cell motility 1","9844"
"213411_at",3.03e-06,7.55,1.29,"ADAM22","ADAM metallopeptidase domain 22","53616"
"206765_at",3.05e-06,-7.55,-2.51,"KCNJ2","potassium voltage-gated channel subfamily J member 2","3759"
"206457_s_at",3.06e-06,7.54,3.68,"DIO1","deiodinase, iodothyronine type I","1733"
"205481_at",3.06e-06,-7.54,-0.975,"ADORA1","adenosine A1 receptor","134"
"231211_s_at",3.09e-06,-7.54,-2.02,"YIF1B","Yip1 interacting factor homolog B, membrane trafficking protein","90522"
"204119_s_at",3.12e-06,-7.53,-0.93,"ADK","adenosine kinase","132"
"213103_at",3.15e-06,7.52,1.32,"STARD13","StAR related lipid transfer domain containing 13","90627"
"243278_at",3.17e-06,7.52,1.96,"FOXP2","forkhead box P2","93986"
"226248_s_at",3.19e-06,7.52,1.92,"KIAA1324","KIAA1324","57535"
"203060_s_at",3.19e-06,7.52,2.18,"PAPSS2","3'-phosphoadenosine 5'-phosphosulfate synthase 2","9060"
"203287_at",3.24e-06,-7.51,-1.33,"LAD1","ladinin 1","3898"
"209473_at",3.28e-06,-7.5,-1.68,"ENTPD1","ectonucleoside triphosphate diphosphohydrolase 1","953"
"201223_s_at",3.3e-06,-7.49,-0.746,"RAD23B","RAD23 homolog B, nucleotide excision repair protein","5887"
"235978_at",3.33e-06,7.49,1.66,"FABP4","fatty acid binding protein 4","2167"
"225817_at",3.37e-06,7.48,1.3,"LOC101930349///LOC101930344///CGNL1","uncharacterized LOC101930349///uncharacterized LOC101930344///cingulin like 1","101930349///101930344///84952"
"214068_at",3.38e-06,-7.48,-1.92,"BEAN1","brain expressed, associated with NEDD4, 1","146227"
"233688_at",3.44e-06,7.47,0.916,"KCNIP3","potassium voltage-gated channel interacting protein 3","30818"
"222921_s_at",3.54e-06,-7.45,-1.69,"HEY2","hes related family bHLH transcription factor with YRPW motif 2","23493"
"244675_at",3.63e-06,7.43,1.42,"RGS8","regulator of G-protein signaling 8","85397"
"236783_at",3.67e-06,7.42,1.48,"KCNIP4","potassium voltage-gated channel interacting protein 4","80333"
"233111_at",3.68e-06,7.42,1.84,"PTCSC1","papillary thyroid carcinoma susceptibility candidate 1 (non-protein coding)","100302522"
"209990_s_at",3.7e-06,-7.42,-2.08,"GABBR2","gamma-aminobutyric acid type B receptor subunit 2","9568"
"211596_s_at",3.74e-06,7.41,1.16,"LRIG1","leucine rich repeats and immunoglobulin like domains 1","26018"
"229506_at",3.75e-06,7.41,1.08,"PPM1L","protein phosphatase, Mg2+/Mn2+ dependent 1L","151742"
"214955_at",3.77e-06,-7.4,-1.65,"TMPRSS6","transmembrane protease, serine 6","164656"
"235766_x_at",3.82e-06,-7.4,-1.46,"RAB27A","RAB27A, member RAS oncogene family","5873"
"204288_s_at",3.84e-06,7.39,1.08,"SORBS2","sorbin and SH3 domain containing 2","8470"
"207691_x_at",3.91e-06,-7.38,-1.85,"ENTPD1","ectonucleoside triphosphate diphosphohydrolase 1","953"
"231166_at",4.08e-06,7.35,0.863,"GPR155","G protein-coupled receptor 155","151556"
"226625_at",4.1e-06,7.35,1.15,"TGFBR3","transforming growth factor beta receptor 3","7049"
"229866_at",4.1e-06,-7.35,-2.2,"STK32A","serine/threonine kinase 32A","202374"
"37004_at",4.24e-06,-7.33,-3.77,"SFTPB","surfactant protein B","6439"
"227417_at",4.32e-06,7.31,1.29,"Mar-02","mitochondrial amidoxime reducing component 2","54996"
"213308_at",4.33e-06,7.31,1.89,"SHANK2","SH3 and multiple ankyrin repeat domains 2","22941"
"211343_s_at",4.41e-06,-7.3,-1.83,"COL13A1","collagen type XIII alpha 1 chain","1305"
"232547_at",4.52e-06,-7.28,-1.98,"SRCIN1","SRC kinase signaling inhibitor 1","80725"
"226960_at",4.53e-06,-7.28,-1.8,"CXCL17","C-X-C motif chemokine ligand 17","284340"
"231311_at",4.69e-06,-7.26,-1.41,"","",""
"228653_at",4.72e-06,7.26,2.4,"SAMD5","sterile alpha motif domain containing 5","389432"
"57588_at",4.91e-06,7.23,0.913,"SLC24A3","solute carrier family 24 member 3","57419"
"238009_at",4.91e-06,7.23,0.987,"SOX5","SRY-box 5","6660"
"227690_at",4.92e-06,7.23,1.58,"GABRB3","gamma-aminobutyric acid type A receptor beta3 subunit","2562"
"235906_at",4.98e-06,7.22,0.655,"TAF10","TATA-box binding protein associated factor 10","6881"
"213920_at",5.11e-06,7.2,2.46,"CUX2","cut like homeobox 2","23316"
"201417_at",5.13e-06,-7.2,-1.06,"SOX4","SRY-box 4","6659"
"213281_at",5.3e-06,7.18,0.924,"JUN","Jun proto-oncogene, AP-1 transcription factor subunit","3725"
"223170_at",5.3e-06,-7.18,-1.54,"TMEM98","transmembrane protein 98","26022"
"227526_at",5.31e-06,7.18,2.21,"CDON","cell adhesion associated, oncogene regulated","50937"
"223075_s_at",5.38e-06,7.17,1.68,"AIF1L","allograft inflammatory factor 1 like","83543"
"1561761_x_at",5.44e-06,7.16,0.671,"LOC645513","septin 7 pseudogene","645513"
"201842_s_at",5.59e-06,7.15,1.46,"EFEMP1","EGF containing fibulin like extracellular matrix protein 1","2202"
"212830_at",5.61e-06,-7.14,-1.14,"MEGF9","multiple EGF like domains 9","1955"
"222487_s_at",5.72e-06,-7.13,-0.583,"RPS27L","ribosomal protein S27 like","51065"
"206529_x_at",5.72e-06,7.13,2.92,"SLC26A4","solute carrier family 26 member 4","5172"
"203854_at",5.72e-06,-7.13,-1.55,"CFI","complement factor I","3426"
"226765_at",5.9e-06,7.11,0.471,"SPTBN1","spectrin beta, non-erythrocytic 1","6711"
"223296_at",6.15e-06,7.08,1.44,"SLC25A33","solute carrier family 25 member 33","84275"
"211478_s_at",6.17e-06,-7.08,-2.05,"DPP4","dipeptidyl peptidase 4","1803"
"213234_at",6.23e-06,7.08,1.62,"FAM234B","family with sequence similarity 234 member B","57613"
"201487_at",6.38e-06,-7.06,-1.97,"CTSC","cathepsin C","1075"
"209291_at",6.49e-06,7.05,0.559,"ID4","inhibitor of DNA binding 4, HLH protein","3400"
"204462_s_at",6.53e-06,7.04,1.65,"SLC16A2","solute carrier family 16 member 2","6567"
"219093_at",6.69e-06,7.03,1.97,"PID1","phosphotyrosine interaction domain containing 1","55022"
