ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
203221_at,3.67E-12,1.12E-14,1.14E+01,23.294632,1.76,TLE1,transducin like enhancer of split 1,7088
205174_s_at,4.57E-12,1.41E-14,-1.13E+01,23.065199,-3.67,QPCT,glutaminyl-peptide cyclotransferase,25797
204503_at,4.98E-12,1.59E-14,-1.13E+01,22.952674,-1.62,EVPL,envoplakin,2125
201666_at,4.98E-12,1.59E-14,-1.13E+01,22.951664,-2.29,TIMP1,TIMP metallopeptidase inhibitor 1,7076
202826_at,5.71E-12,1.85E-14,-1.12E+01,22.803873,-2.19,SPINT1,"serine peptidase inhibitor, Kunitz type 1",6692
207691_x_at,5.80E-12,1.90E-14,-1.12E+01,22.776098,-3.12,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,953
204105_s_at,6.54E-12,2.17E-14,-1.12E+01,22.644404,-2.58,NRCAM,neuronal cell adhesion molecule,4897
206806_at,6.80E-12,2.29E-14,1.12E+01,22.592016,2.96,DGKI,diacylglycerol kinase iota,9162
208949_s_at,7.17E-12,2.44E-14,-1.11E+01,22.528065,-2.13,LGALS3,"lectin, galactoside binding soluble 3",3958
205640_at,7.94E-12,2.74E-14,-1.11E+01,22.414547,-1.81,ALDH3B1,aldehyde dehydrogenase 3 family member B1,221
222056_s_at,8.38E-12,2.94E-14,1.11E+01,22.347576,1.63,FAHD2A,fumarylacetoacetate hydrolase domain containing 2A,51011
203060_s_at,8.38E-12,2.98E-14,1.11E+01,22.332218,3.77,PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,9060
205876_at,8.38E-12,3.01E-14,1.11E+01,22.322051,1.87,LIFR,leukemia inhibitory factor receptor alpha,3977
212803_at,8.38E-12,3.04E-14,-1.11E+01,22.312286,-2.26,NAB2,NGFI-A binding protein 2,4665
203349_s_at,1.08E-11,3.97E-14,-1.10E+01,22.052091,-2.06,ETV5,ETS variant 5,2119
204513_s_at,1.10E-11,4.20E-14,1.10E+01,21.996636,2.93,ELMO1,engulfment and cell motility 1,9844
201368_at,1.10E-11,4.20E-14,1.10E+01,21.995443,1.33,ZFP36L2,ZFP36 ring finger protein like 2,678
208540_x_at,1.10E-11,4.21E-14,-1.10E+01,21.993887,-1.54,,,
213308_at,1.12E-11,4.34E-14,1.10E+01,21.964714,2.65,SHANK2,SH3 and multiple ankyrin repeat domains 2,22941
206209_s_at,1.20E-11,4.71E-14,1.09E+01,21.883995,4.29,CA4,carbonic anhydrase 4,762
217546_at,1.20E-11,4.75E-14,1.09E+01,21.875926,3.97,MT1M,metallothionein 1M,4499
202071_at,1.27E-11,5.09E-14,-1.09E+01,21.807972,-2.27,SDC4,syndecan 4,6385
210951_x_at,1.38E-11,5.62E-14,-1.09E+01,21.710796,-2.23,RAB27A,"RAB27A, member RAS oncogene family",5873
207981_s_at,1.38E-11,5.62E-14,1.09E+01,21.710124,2.22,ESRRG,estrogen related receptor gamma,2104
218071_s_at,1.50E-11,6.19E-14,1.08E+01,21.614914,7.54E-01,MKRN2,makorin ring finger protein 2,23609
221636_s_at,1.54E-11,6.41E-14,1.08E+01,21.57998,1.54,Mar-02,mitochondrial amidoxime reducing component 2,54996
207808_s_at,1.83E-11,7.73E-14,-1.08E+01,21.397071,-2.62,PROS1,protein S (alpha),5627
206542_s_at,1.83E-11,7.82E-14,1.08E+01,21.385703,1.02,SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",6595
203355_s_at,2.07E-11,8.92E-14,-1.07E+01,21.2557,-3.5,PSD3,pleckstrin and Sec7 domain containing 3,23362
206208_at,3.12E-11,1.36E-13,1.06E+01,20.841397,3.64,CA4,carbonic anhydrase 4,762
216944_s_at,3.15E-11,1.39E-13,1.06E+01,20.821656,2.85,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",3708
221447_s_at,3.24E-11,1.44E-13,1.05E+01,20.785445,3.01,GLT8D2,glycosyltransferase 8 domain containing 2,83468
215692_s_at,3.53E-11,1.58E-13,1.05E+01,20.691988,2.1,MPPED2,metallophosphoesterase domain containing 2,744
206214_at,3.65E-11,1.67E-13,1.05E+01,20.640152,2.2,PLA2G7,phospholipase A2 group VII,7941
203287_at,3.65E-11,1.68E-13,-1.05E+01,20.63261,-1.64,LAD1,ladinin 1,3898
209447_at,3.65E-11,1.69E-13,1.05E+01,20.625931,1.98,SYNE1,spectrin repeat containing nuclear envelope protein 1,23345
210038_at,3.65E-11,1.70E-13,1.05E+01,20.619073,1.87,PRKCQ,protein kinase C theta,5588
204918_s_at,4.13E-11,1.95E-13,1.04E+01,20.488452,1.73,MLLT3,"MLLT3, super elongation complex subunit",4300
209360_s_at,4.24E-11,2.02E-13,-1.04E+01,20.45226,-2.49,LOC101928269///LOC100506403///RUNX1,uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1,101928269///100506403///861
218613_at,4.38E-11,2.10E-13,-1.04E+01,20.412475,-3.01,PSD3,pleckstrin and Sec7 domain containing 3,23362
210473_s_at,4.52E-11,2.19E-13,1.04E+01,20.371366,2.65,ADGRA3,adhesion G protein-coupled receptor A3,166647
217165_x_at,5.70E-11,2.79E-13,1.03E+01,20.133901,2.81,MT1F,metallothionein 1F,4494
209612_s_at,6.26E-11,3.09E-13,1.03E+01,20.03342,4.09,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",125
215380_s_at,7.96E-11,3.97E-13,-1.02E+01,19.787114,-1.99,GGCT,gamma-glutamylcyclotransferase,79017
212731_at,8.11E-11,4.08E-13,1.02E+01,19.760592,1.97,ANKRD46,ankyrin repeat domain 46,157567
205612_at,9.62E-11,4.88E-13,1.01E+01,19.583874,2.54,MMRN1,multimerin 1,22915
203980_at,1.02E-10,5.24E-13,1.01E+01,19.513853,4.72,FABP4,fatty acid binding protein 4,2167
209803_s_at,1.03E-10,5.30E-13,-1.01E+01,19.501519,-2.61,PHLDA2,pleckstrin homology like domain family A member 2,7262
220486_x_at,1.08E-10,5.61E-13,1.01E+01,19.44571,1.41,LOC101928589///TMEM164,uncharacterized LOC101928589///transmembrane protein 164,101928589///84187
219778_at,1.14E-10,5.98E-13,1.01E+01,19.383385,3.14,ZFPM2,"zinc finger protein, FOG family member 2",23414
206498_at,1.19E-10,6.32E-13,1.01E+01,19.327986,1.9,OCA2,OCA2 melanosomal transmembrane protein,4948
204328_at,1.19E-10,6.40E-13,-1.01E+01,19.316526,-2.2,TMC6,transmembrane channel like 6,11322
219317_at,1.19E-10,6.43E-13,1.01E+01,19.310924,1.85,POLI,DNA polymerase iota,11201
201749_at,1.19E-10,6.46E-13,-1.01E+01,19.307349,-1.55,ECE1,endothelin converting enzyme 1,1889
202677_at,1.31E-10,7.15E-13,-1.00E+01,19.206988,-1.1,RASA1,RAS p21 protein activator 1,5921
212024_x_at,1.34E-10,7.39E-13,-1.00E+01,19.174923,-7.09E-01,FLII,"FLII, actin remodeling protein",2314
203960_s_at,1.49E-10,8.28E-13,9.97,19.06294,1.48,HSPB11,heat shock protein family B (small) member 11,51668
206517_at,1.52E-10,8.52E-13,9.96,19.034335,3.4,CDH16,cadherin 16,1014
220974_x_at,1.55E-10,8.76E-13,-9.95,19.006838,-1.09,SFXN3,sideroflexin 3,81855
218844_at,1.64E-10,9.35E-13,9.93,18.942888,1.46,ACSF2,acyl-CoA synthetase family member 2,80221
209555_s_at,1.65E-10,9.46E-13,9.93,18.931457,2.7,CD36,CD36 molecule,948
205954_at,1.74E-10,1.01E-12,-9.91,18.871044,-4.13,RXRG,retinoid X receptor gamma,6258
204633_s_at,1.84E-10,1.07E-12,9.88,18.806592,2.21,RPS6KA5,ribosomal protein S6 kinase A5,9252
37408_at,1.94E-10,1.14E-12,-9.87,18.748253,-2.4,MRC2,mannose receptor C type 2,9902
201012_at,2.02E-10,1.20E-12,-9.85,18.699197,-1.46,ANXA1,annexin A1,301
219049_at,2.06E-10,1.23E-12,9.84,18.671537,2.72,CSGALNACT1,chondroitin sulfate N-acetylgalactosaminyltransferase 1,55790
204606_at,2.09E-10,1.26E-12,9.83,18.649437,4.08,CCL21,C-C motif chemokine ligand 21,6366
219195_at,2.19E-10,1.33E-12,9.82,18.59857,2.49,PPARGC1A,PPARG coactivator 1 alpha,10891
203234_at,2.27E-10,1.38E-12,-9.8,18.555522,-1.98,UPP1,uridine phosphorylase 1,7378
218549_s_at,2.43E-10,1.50E-12,9.78,18.480032,1.41,RMDN1,regulator of microtubule dynamics 1,51115
204745_x_at,2.45E-10,1.51E-12,9.77,18.467511,2.4,MT1G,metallothionein 1G,4495
219628_at,2.65E-10,1.65E-12,-9.74,18.381713,-2.27,ZMAT3,zinc finger matrin-type 3,64393
213100_at,2.71E-10,1.70E-12,-9.73,18.351845,-1.68,UNC5B,unc-5 netrin receptor B,219699
202350_s_at,2.92E-10,1.85E-12,9.71,18.272865,3.86,LOC100506558///MATN2,uncharacterized LOC100506558///matrilin 2,100506558///4147
217226_s_at,2.96E-10,1.89E-12,-9.7,18.251694,-1.2,SFXN3,sideroflexin 3,81855
213679_at,3.08E-10,1.98E-12,9.69,18.205141,2.09,TTC30A,tetratricopeptide repeat domain 30A,92104
208848_at,3.21E-10,2.09E-12,9.67,18.151079,1.3,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",128
213189_at,3.21E-10,2.09E-12,9.67,18.150141,1.81,MINA,MYC induced nuclear antigen,84864
204985_s_at,3.23E-10,2.13E-12,9.66,18.130326,1.85,TRAPPC6A,trafficking protein particle complex 6A,79090
222294_s_at,3.23E-10,2.14E-12,-9.66,18.125763,-1.86,RAB27A,"RAB27A, member RAS oncogene family",5873
220203_at,3.23E-10,2.15E-12,9.66,18.123764,2.81,BMP8A,bone morphogenetic protein 8a,353500
208022_s_at,3.23E-10,2.16E-12,9.66,18.11629,1.28,CDC14B,cell division cycle 14B,8555
220724_at,3.24E-10,2.18E-12,9.66,18.107733,2.1,CWH43,cell wall biogenesis 43 C-terminal homolog,80157
202709_at,3.24E-10,2.21E-12,9.65,18.094881,2.14,FMOD,fibromodulin,2331
203640_at,3.24E-10,2.23E-12,9.65,18.083948,9.00E-01,MBNL2,muscleblind like splicing regulator 2,10150
209273_s_at,3.24E-10,2.24E-12,9.65,18.0813,8.04E-01,ISCA1,iron-sulfur cluster assembly 1,81689
213234_at,3.24E-10,2.24E-12,9.65,18.080637,1.15,FAM234B,family with sequence similarity 234 member B,57613
208758_at,3.30E-10,2.30E-12,-9.64,18.057474,-1.11,ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,471
212110_at,3.59E-10,2.52E-12,9.61,17.967067,1.73,SLC39A14,solute carrier family 39 member 14,23516
219077_s_at,3.77E-10,2.66E-12,9.59,17.913997,1.8,WWOX,WW domain containing oxidoreductase,51741
211596_s_at,4.03E-10,2.86E-12,9.57,17.840683,1.96,LRIG1,leucine rich repeats and immunoglobulin like domains 1,26018
205083_at,4.12E-10,2.94E-12,9.56,17.812458,2.35,AOX1,aldehyde oxidase 1,316
201588_at,4.13E-10,2.98E-12,9.55,17.798611,9.89E-01,TXNL1,thioredoxin like 1,9352
204061_at,4.13E-10,2.99E-12,9.55,17.796877,2.41,PRKX,"protein kinase, X-linked",5613
218901_at,4.13E-10,3.01E-12,9.55,17.789515,2.13,PLSCR4,phospholipid scramblase 4,57088
209655_s_at,4.13E-10,3.02E-12,9.55,17.786976,2.29,TMEM47,transmembrane protein 47,83604
207144_s_at,4.13E-10,3.05E-12,-9.55,17.77769,-5.49,CITED1,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1,4435
217728_at,4.13E-10,3.06E-12,-9.55,17.773757,-9.51E-01,S100A6,S100 calcium binding protein A6,6277
204772_s_at,4.24E-10,3.16E-12,9.54,17.742649,7.88E-01,TTF1,transcription termination factor 1,7270
209474_s_at,4.70E-10,3.53E-12,-9.5,17.634356,-2.88,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,953
214308_s_at,4.74E-10,3.57E-12,9.5,17.621054,2.44,HGD,"homogentisate 1,2-dioxygenase",3081
204933_s_at,4.79E-10,3.63E-12,9.49,17.604604,3.87,TNFRSF11B,TNF receptor superfamily member 11b,4982
213629_x_at,5.16E-10,3.94E-12,9.47,17.525236,3.13,MT1F,metallothionein 1F,4494
209035_at,5.27E-10,4.05E-12,-9.46,17.498248,-2.85,MDK,midkine (neurite growth-promoting factor 2),4192
205171_at,5.32E-10,4.11E-12,9.45,17.483336,1.49,PTPN4,"protein tyrosine phosphatase, non-receptor type 4",5775
201474_s_at,5.40E-10,4.19E-12,-9.45,17.46313,-1.8,ITGA3,integrin subunit alpha 3,3675
214745_at,5.46E-10,4.27E-12,9.44,17.446266,1.93,PLCH1,phospholipase C eta 1,23007
200941_at,6.21E-10,4.88E-12,9.4,17.314354,1.35,HSBP1,heat shock factor binding protein 1,3281
209814_at,6.32E-10,4.99E-12,9.39,17.291199,1.16,ZNF330,zinc finger protein 330,27309
209613_s_at,7.00E-10,5.57E-12,9.35,17.182689,4.11,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",125
210039_s_at,7.00E-10,5.59E-12,9.35,17.179269,1.89,PRKCQ,protein kinase C theta,5588
219527_at,7.14E-10,5.74E-12,9.35,17.153867,1.99,Mar-02,mitochondrial amidoxime reducing component 2,54996
203386_at,7.80E-10,6.30E-12,9.32,17.06171,1.91,TBC1D4,TBC1 domain family member 4,9882
211323_s_at,7.94E-10,6.45E-12,9.31,17.039227,3.37,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",3708
209116_x_at,8.28E-10,6.76E-12,9.29,16.992087,3.25,HBB,hemoglobin subunit beta,3043
211276_at,8.50E-10,6.98E-12,9.28,16.961307,3.81,TCEAL2,transcription elongation factor A like 2,140597
218005_at,8.78E-10,7.25E-12,9.27,16.923072,1.35,ZNF22,zinc finger protein 22,7570
205923_at,9.17E-10,7.65E-12,9.25,16.871078,2.08,RELN,reelin,5649
208712_at,9.17E-10,7.66E-12,-9.25,16.869477,-1.73,CCND1,cyclin D1,595
213839_at,9.50E-10,7.98E-12,9.24,16.829379,1.77,CLMN,calmin,79789
204493_at,9.66E-10,8.15E-12,-9.23,16.808066,-1.96,BID,BH3 interacting domain death agonist,637
204288_s_at,9.76E-10,8.28E-12,9.23,16.792534,3.08,SORBS2,sorbin and SH3 domain containing 2,8470
220108_at,1.06E-09,9.02E-12,9.2,16.708239,2.61,GNA14,G protein subunit alpha 14,9630
206457_s_at,1.10E-09,9.45E-12,9.19,16.662264,5.62,DIO1,"deiodinase, iodothyronine type I",1733
217232_x_at,1.12E-09,9.64E-12,9.18,16.642362,3.04,HBB,hemoglobin subunit beta,3043
202295_s_at,1.15E-09,9.92E-12,-9.17,16.614404,-2.02,CTSH,cathepsin H,1512
212675_s_at,1.15E-09,1.00E-11,9.17,16.601446,1.28,CEP68,centrosomal protein 68,23177
209586_s_at,1.20E-09,1.06E-11,9.15,16.551094,1.34,PRUNE1,prune exopolyphosphatase,58497
221452_s_at,1.20E-09,1.06E-11,9.15,16.549417,1.03,TMEM14B,transmembrane protein 14B,81853
212895_s_at,1.24E-09,1.09E-11,-9.14,16.519055,-1.26,ABR,active BCR-related,29
213129_s_at,1.26E-09,1.12E-11,9.13,16.493157,1.83,LOC101060817///GCSH,"glycine cleavage system H protein, mitochondrial-like///glycine cleavage system protein H",101060817///2653
204686_at,1.33E-09,1.19E-11,9.11,16.434821,2.37,IRS1,insulin receptor substrate 1,3667
208891_at,1.37E-09,1.23E-11,-9.1,16.400642,-2.17,DUSP6,dual specificity phosphatase 6,1848
206461_x_at,1.39E-09,1.25E-11,9.1,16.384114,1.93,MT1H,metallothionein 1H,4496
211696_x_at,1.42E-09,1.28E-11,9.09,16.359522,2.75,HBB,hemoglobin subunit beta,3043
218504_at,1.44E-09,1.31E-11,9.08,16.336991,2.1,FAHD2A,fumarylacetoacetate hydrolase domain containing 2A,51011
219093_at,1.48E-09,1.35E-11,9.07,16.307791,2.54,PID1,phosphotyrosine interaction domain containing 1,55022
203854_at,1.53E-09,1.41E-11,-9.06,16.269265,-2.38,CFI,complement factor I,3426
203387_s_at,1.59E-09,1.47E-11,9.05,16.228758,2.11,TBC1D4,TBC1 domain family member 4,9882
219127_at,1.69E-09,1.57E-11,9.03,16.161223,2.63,PRR15L,proline rich 15 like,79170
208847_s_at,1.86E-09,1.74E-11,9,16.062362,8.24E-01,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",128
202554_s_at,1.86E-09,1.75E-11,8.99,16.056288,2.18,GSTM3,glutathione S-transferase mu 3,2947
209295_at,1.87E-09,1.76E-11,-8.99,16.046435,-1.4,TNFRSF10B,TNF receptor superfamily member 10b,8795
203961_at,2.01E-09,1.90E-11,8.97,15.972737,1.66,NEBL,nebulette,10529
205485_at,2.02E-09,1.92E-11,-8.96,15.964106,-3.04,RYR1,ryanodine receptor 1,6261
214268_s_at,2.02E-09,1.93E-11,8.96,15.955721,1.67,MTMR4,myotubularin related protein 4,9110
202908_at,2.07E-09,1.99E-11,8.95,15.926189,2,WFS1,wolframin ER transmembrane glycoprotein,7466
213103_at,2.09E-09,2.02E-11,8.95,15.912501,2.34,STARD13,StAR related lipid transfer domain containing 13,90627
41037_at,2.10E-09,2.04E-11,8.94,15.901554,1.55,TEAD4,TEA domain transcription factor 4,7004
219961_s_at,2.10E-09,2.05E-11,8.94,15.900343,1.96,KIZ,kizuna centrosomal protein,55857
209220_at,2.10E-09,2.07E-11,8.94,15.890128,1.59,GPC3,glypican 3,2719
217975_at,2.10E-09,2.07E-11,8.94,15.888966,9.76E-01,TCEAL9,transcription elongation factor A like 9,51186
203700_s_at,2.10E-09,2.07E-11,8.94,15.888691,2.31,DIO2,"deiodinase, iodothyronine, type II",1734
210524_x_at,2.20E-09,2.18E-11,8.92,15.836393,2.64,,,
204401_at,2.37E-09,2.36E-11,-8.9,15.759869,-2.89,KCNN4,potassium calcium-activated channel subfamily N member 4,3783
220603_s_at,2.40E-09,2.40E-11,-8.89,15.742429,-1.67,MCTP2,multiple C2 and transmembrane domain containing 2,55784
206043_s_at,2.43E-09,2.45E-11,8.89,15.722161,1.37,ATP2C2,ATPase secretory pathway Ca2+ transporting 2,9914
202308_at,2.43E-09,2.45E-11,-8.89,15.721133,-1.2,SREBF1,sterol regulatory element binding transcription factor 1,6720
220751_s_at,2.50E-09,2.54E-11,8.88,15.686785,1.48,FAXDC2,fatty acid hydroxylase domain containing 2,10826
204796_at,2.61E-09,2.67E-11,8.86,15.638144,1.53,EML1,echinoderm microtubule associated protein like 1,2009
202550_s_at,2.61E-09,2.67E-11,8.86,15.635797,6.78E-01,VAPB,VAMP associated protein B and C,9217
204600_at,2.68E-09,2.76E-11,-8.85,15.603323,-1.09,EPHB3,EPH receptor B3,2049
204274_at,2.68E-09,2.77E-11,8.85,15.600475,1.05,EBAG9,"estrogen receptor binding site associated, antigen, 9",9166
203911_at,2.70E-09,2.80E-11,8.85,15.590403,2.73,RAP1GAP,RAP1 GTPase activating protein,5909
201346_at,2.71E-09,2.83E-11,8.84,15.581463,1.32,ADIPOR2,adiponectin receptor 2,79602
222065_s_at,2.71E-09,2.83E-11,-8.84,15.579187,-8.31E-01,FLII,"FLII, actin remodeling protein",2314
209473_at,2.82E-09,2.96E-11,-8.83,15.533861,-2.2,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,953
212277_at,2.82E-09,2.97E-11,8.83,15.531018,1.3,MTMR4,myotubularin related protein 4,9110
