"ID","P.Value","t","logFC","Gene.symbol","Gene.title","Gene.ID"
"224374_s_at",2.8e-25,-13.7540102,-1.81668748,"EMILIN2","elastin microfibril interfacer 2","84034"
"214104_at",2.84e-25,-13.751001,-1.26430725,"GPR161","G protein-coupled receptor 161","23432"
"243063_at",2.94e-25,13.743987,1.39868745,"","",""
"223582_at",3.01e-25,13.7390242,1.59649217,"ADGRV1","adhesion G protein-coupled receptor V1","84059"
"206574_s_at",3.01e-25,-13.7388813,-1.49439713,"PTP4A3","protein tyrosine phosphatase type IVA, member 3","11156"
"37408_at",3.28e-25,-13.7214622,-1.97149266,"MRC2","mannose receptor C type 2","9902"
"240236_at",3.83e-25,13.6905546,2.96799126,"STXBP5L","syntaxin binding protein 5 like","9515"
"202609_at",3.93e-25,-13.6850963,-1.72578286,"EPS8","epidermal growth factor receptor pathway substrate 8","2059"
"227657_at",4.08e-25,13.6778427,1.90108461,"RNF150","ring finger protein 150","57484"
"214308_s_at",4.9e-25,13.6406343,2.30521603,"HGD","homogentisate 1,2-dioxygenase","3081"
"210155_at",4.91e-25,13.640348,1.57922392,"MYOC","myocilin","4653"
"1564371_a_at",5.46e-25,13.6188517,1.03877556,"CASC2","cancer susceptibility candidate 2 (non-protein coding)","255082"
"206093_x_at",5.84e-25,13.6056011,1.53737466,"TNXB///TNXA","tenascin XB///tenascin XA (pseudogene)","7148///7146"
"208949_s_at",5.92e-25,-13.6028526,-1.65188202,"LGALS3","lectin, galactoside binding soluble 3","3958"
"228776_at",6.14e-25,-13.5955371,-2.11580621,"GJC1","gap junction protein gamma 1","10052"
"206765_at",6.51e-25,-13.5836882,-3.51111618,"KCNJ2","potassium voltage-gated channel subfamily J member 2","3759"
"205236_x_at",7.02e-25,13.5683454,1.72076659,"SOD3","superoxide dismutase 3, extracellular","6649"
"207557_s_at",7.27e-25,13.5614391,1.7940753,"RYR2","ryanodine receptor 2","6262"
"215380_s_at",7.69e-25,-13.5501254,-1.27352789,"GGCT","gamma-glutamylcyclotransferase","79017"
"208540_x_at",7.86e-25,-13.5458242,-1.06713995,"","",""
"202180_s_at",7.89e-25,-13.5448346,-1.47085828,"MVP","major vault protein","9961"
"210261_at",9.6e-25,13.5055381,1.61130209,"KCNK2","potassium two pore domain channel subfamily K member 2","3776"
"206320_s_at",9.73e-25,13.5028464,1.33084943,"SMAD9","SMAD family member 9","4093"
"207789_s_at",1.27e-24,13.4487701,2.39761001,"DPP6","dipeptidyl peptidase like 6","1804"
"223868_s_at",1.33e-24,13.4398657,1.34457503,"WWOX","WW domain containing oxidoreductase","51741"
"223074_s_at",1.36e-24,13.4355162,1.10653199,"AIF1L","allograft inflammatory factor 1 like","83543"
"218847_at",1.46e-24,-13.4213574,-1.63877131,"IGF2BP2","insulin like growth factor 2 mRNA binding protein 2","10644"
"221030_s_at",1.47e-24,13.4195625,1.63253485,"ARHGAP24","Rho GTPase activating protein 24","83478"
"205221_at",1.48e-24,13.4192411,2.68887302,"HGD","homogentisate 1,2-dioxygenase","3081"
"213451_x_at",1.49e-24,13.4173613,1.55997267,"TNXB///TNXA","tenascin XB///tenascin XA (pseudogene)","7148///7146"
"205876_at",1.66e-24,13.3953498,2.01625111,"LIFR","leukemia inhibitory factor receptor alpha","3977"
"220204_s_at",1.67e-24,13.3941641,1.95314632,"BMP8A","bone morphogenetic protein 8a","353500"
"209474_s_at",2.02e-24,-13.3565852,-2.89889748,"ENTPD1","ectonucleoside triphosphate diphosphohydrolase 1","953"
"201105_at",2.13e-24,-13.3458037,-1.84293999,"LGALS1","galectin 1","3956"
"238858_at",2.27e-24,13.3329643,0.96131335,"TIFA","TRAF interacting protein with forkhead associated domain","92610"
"203180_at",2.36e-24,-13.3250218,-2.81919174,"ALDH1A3","aldehyde dehydrogenase 1 family member A3","220"
"227036_at",2.38e-24,-13.3238419,-1.04401833,"RASAL2","RAS protein activator like 2","9462"
"207691_x_at",2.45e-24,-13.3176326,-2.87179294,"ENTPD1","ectonucleoside triphosphate diphosphohydrolase 1","953"
"203234_at",2.56e-24,-13.3086557,-1.68458512,"UPP1","uridine phosphorylase 1","7378"
"203409_at",2.61e-24,-13.3052421,-1.3460805,"DDB2","damage specific DNA binding protein 2","1643"
"203717_at",2.81e-24,-13.2901873,-3.18688543,"DPP4","dipeptidyl peptidase 4","1803"
"242344_at",2.94e-24,-13.281275,-5.26420122,"GABRB2","gamma-aminobutyric acid type A receptor beta2 subunit","2561"
"235534_at",2.96e-24,-13.2795371,-1.3057659,"PHLDA3","pleckstrin homology like domain family A member 3","23612"
"229313_at",2.99e-24,13.2774943,1.80365343,"ANO5","anoctamin 5","203859"
"205051_s_at",3.02e-24,13.2758708,3.10022936,"KIT","KIT proto-oncogene receptor tyrosine kinase","3815"
"241470_x_at",3.28e-24,13.2591746,1.91384639,"RASSF9","Ras association domain family member 9","9182"
"229860_x_at",3.38e-24,-13.2534156,-1.66279489,"C4orf48","chromosome 4 open reading frame 48","401115"
"221067_s_at",3.75e-24,13.2324783,1.08786909,"SPX","spexin hormone","80763"
"238116_at",4.22e-24,13.2089918,1.80398202,"DYNLRB2","dynein light chain roadblock-type 2","83657"
"209695_at",4.36e-24,-13.2022078,-1.55625011,"PTP4A3","protein tyrosine phosphatase type IVA, member 3","11156"
"204633_s_at",4.62e-24,13.1909365,1.40787081,"RPS6KA5","ribosomal protein S6 kinase A5","9252"
"218181_s_at",4.94e-24,-13.1776544,-1.29962881,"MAP4K4","mitogen-activated protein kinase kinase kinase kinase 4","9448"
"204783_at",5.11e-24,13.1708265,1.70176846,"MLF1","myeloid leukemia factor 1","4291"
"210400_at",5.23e-24,13.166114,1.67014382,"GRIN2C","glutamate ionotropic receptor NMDA type subunit 2C","2905"
"236783_at",5.29e-24,13.1637818,2.1155644,"KCNIP4","potassium voltage-gated channel interacting protein 4","80333"
"230670_at",6.08e-24,13.1360947,1.23685991,"IGSF10","immunoglobulin superfamily member 10","285313"
"229341_at",6.17e-24,13.1330405,1.88593326,"TFCP2L1","transcription factor CP2-like 1","29842"
"211401_s_at",6.27e-24,13.1298551,1.68302558,"FGFR2","fibroblast growth factor receptor 2","2263"
"228568_at",6.41e-24,13.1254145,1.05731156,"MYZAP","myocardial zonula adherens protein","100820829"
"228502_at",7.26e-24,13.1007197,1.91550378,"RPS6KA6","ribosomal protein S6 kinase A6","27330"
"219961_s_at",7.88e-24,13.0844819,1.24437351,"KIZ","kizuna centrosomal protein","55857"
"203908_at",8.1e-24,13.0789634,3.27266892,"SLC4A4","solute carrier family 4 member 4","8671"
"230419_at",8.29e-24,13.0741453,1.51451814,"SOX9-AS1","SOX9 antisense RNA 1","400618"
"210039_s_at",8.75e-24,13.0635613,1.54818037,"PRKCQ","protein kinase C theta","5588"
"38671_at",9.47e-24,-13.0477878,-1.05765174,"PLXND1","plexin D1","23129"
"202458_at",9.47e-24,-13.0477048,-2.10258242,"PRSS23","protease, serine 23","11098"
"238835_at",1.03e-23,13.0301981,2.6322456,"AVPR1A","arginine vasopressin receptor 1A","552"
"228546_at",1.13e-23,13.0129569,3.25858241,"DPP6","dipeptidyl peptidase like 6","1804"
"207980_s_at",1.14e-23,13.0109502,2.31379979,"CITED2","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2","10370"
"229168_at",1.19e-23,13.0029969,2.30744216,"COL23A1","collagen type XXIII alpha 1 chain","91522"
"211429_s_at",1.23e-23,-12.9956141,-3.23984663,"SERPINA1","serpin family A member 1","5265"
"228536_at",1.24e-23,12.9944992,0.87712686,"PRMT9","protein arginine methyltransferase 9","90826"
"225606_at",1.25e-23,12.9930593,1.04288759,"BCL2L11","BCL2 like 11","10018"
"207401_at",1.29e-23,12.9858749,1.65227574,"PROX1","prospero homeobox 1","5629"
"227415_at",1.3e-23,-12.9852678,-1.12309274,"DGKH","diacylglycerol kinase eta","160851"
"226735_at",1.37e-23,12.9737827,0.62062971,"TAPT1","transmembrane anterior posterior transformation 1","202018"
"232231_at",1.38e-23,-12.9722914,-2.96074923,"RUNX2","runt related transcription factor 2","860"
"203349_s_at",1.42e-23,-12.9674098,-1.62919354,"ETV5","ETS variant 5","2119"
"206085_s_at",1.65e-23,12.936909,1.42009893,"CTH","cystathionine gamma-lyase","1491"
"209357_at",1.69e-23,12.9327686,1.77270835,"CITED2","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2","10370"
"209803_s_at",1.71e-23,-12.9302177,-1.82212669,"PHLDA2","pleckstrin homology like domain family A member 2","7262"
"218313_s_at",1.9e-23,-12.9095552,-1.74618436,"GALNT7","polypeptide N-acetylgalactosaminyltransferase 7","51809"
"208758_at",1.91e-23,-12.9082414,-0.83809271,"ATIC","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","471"
"238605_at",1.97e-23,12.9023558,1.51914755,"NOL4","nucleolar protein 4","8715"
"214162_at",2.14e-23,12.8857323,1.78174159,"ASXL3","additional sex combs like 3, transcriptional regulator","80816"
"205574_x_at",2.22e-23,-12.8780895,-1.14949185,"BMP1","bone morphogenetic protein 1","649"
"1569582_at",2.32e-23,12.8700505,2.30137815,"AADACP1","arylacetamide deacetylase pseudogene 1","201651"
"219355_at",2.34e-23,12.868325,1.49877649,"CXorf57","chromosome X open reading frame 57","55086"
"230536_at",2.34e-23,12.8676416,1.41565315,"PBX4","PBX homeobox 4","80714"
"203386_at",2.39e-23,12.8636939,1.23362937,"TBC1D4","TBC1 domain family member 4","9882"
"230127_at",2.57e-23,-12.8491061,-2.29341902,"","",""
"210473_s_at",2.7e-23,12.8396125,1.60236251,"ADGRA3","adhesion G protein-coupled receptor A3","166647"
"233536_at",2.78e-23,12.8338223,2.10298221,"ASXL3","additional sex combs like 3, transcriptional regulator","80816"
"227753_at",2.8e-23,12.8320355,2.44833815,"TMEM139","transmembrane protein 139","135932"
"203766_s_at",3.11e-23,12.8117436,1.89346791,"LMOD1","leiomodin 1","25802"
"207595_s_at",3.12e-23,-12.8108309,-0.93458515,"BMP1","bone morphogenetic protein 1","649"
"227143_s_at",3.44e-23,-12.791446,-1.5886147,"BID","BH3 interacting domain death agonist","637"
"225575_at",3.47e-23,12.7898408,2.14073727,"LIFR","leukemia inhibitory factor receptor alpha","3977"
"214185_at",3.51e-23,-12.7874968,-0.6632755,"KHDRBS1","KH RNA binding domain containing, signal transduction associated 1","10657"
"214671_s_at",3.83e-23,-12.7700797,-1.00778466,"ABR","active BCR-related","29"
"227771_at",3.93e-23,12.765247,1.71239945,"LIFR","leukemia inhibitory factor receptor alpha","3977"
"205578_at",4.25e-23,12.7494298,1.717311,"ROR2","receptor tyrosine kinase like orphan receptor 2","4920"
"207808_s_at",4.31e-23,-12.7469099,-2.34619179,"PROS1","protein S (alpha)","5627"
"235971_at",4.54e-23,12.7363733,0.98262226,"TIFA","TRAF interacting protein with forkhead associated domain","92610"
"209227_at",4.68e-23,-12.730557,-2.27383924,"TUSC3","tumor suppressor candidate 3","7991"
"214268_s_at",4.69e-23,12.730002,0.84369622,"MTMR4","myotubularin related protein 4","9110"
"226804_at",4.71e-23,-12.7293866,-2.67512618,"FAM20A","family with sequence similarity 20 member A","54757"
"238727_at",4.73e-23,12.7285372,2.55704422,"LOC440934","uncharacterized LOC440934","440934"
"212110_at",4.91e-23,12.72108,1.36718734,"SLC39A14","solute carrier family 39 member 14","23516"
"214175_x_at",5.17e-23,-12.7107117,-1.97321656,"PDLIM4","PDZ and LIM domain 4","8572"
"226542_at",5.27e-23,-12.707038,-1.06949673,"RNF24","ring finger protein 24","11237"
"226965_at",5.87e-23,12.6855926,0.98438476,"DENND6A","DENN domain containing 6A","201627"
"224916_at",5.94e-23,-12.6833901,-1.5776248,"TMEM173","transmembrane protein 173","340061"
"225589_at",6.14e-23,12.6768102,1.32087464,"SH3RF1","SH3 domain containing ring finger 1","57630"
"214803_at",6.31e-23,-12.6714844,-2.78275336,"CDH6","cadherin 6","1004"
"235801_at",6.4e-23,-12.668763,-2.16872032,"TUSC3","tumor suppressor candidate 3","7991"
"230673_at",6.93e-23,12.6527882,3.93490288,"PKHD1L1","polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1","93035"
"223296_at",7.02e-23,12.6504096,1.37759994,"SLC25A33","solute carrier family 25 member 33","84275"
"210819_x_at",7.11e-23,12.6479643,1.07680574,"DIO2","deiodinase, iodothyronine, type II","1734"
"229132_at",7.12e-23,12.6474337,1.36845935,"MINA","MYC induced nuclear antigen","84864"
"224598_at",7.19e-23,-12.6456345,-0.91920025,"MGAT4B","mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B","11282"
"238624_at",8.63e-23,12.6096165,1.13943648,"LOC102724517///NLK","uncharacterized LOC102724517///nemo like kinase","102724517///51701"
"203989_x_at",8.71e-23,-12.6076183,-1.42179503,"F2R","coagulation factor II thrombin receptor","2149"
"241672_at",9.4e-23,12.5927049,2.84341438,"SERTM1","serine rich and transmembrane domain containing 1","400120"
"222810_s_at",9.84e-23,-12.5836693,-1.17162871,"RASAL2","RAS protein activator like 2","9462"
"229634_at",1e-22,12.5796255,1.62855257,"TMEM139","transmembrane protein 139","135932"
"210695_s_at",1.01e-22,12.5779692,0.83395761,"WWOX","WW domain containing oxidoreductase","51741"
"235201_at",1.01e-22,12.5778484,2.39002117,"FOXP2","forkhead box P2","93986"
"229376_at",1.09e-22,12.5643204,2.03881345,"PROX1","prospero homeobox 1","5629"
"240770_at",1.14e-22,12.5549359,1.44063414,"TMEM171","transmembrane protein 171","134285"
"219278_at",1.16e-22,-12.5518524,-1.07268602,"MAP3K6","mitogen-activated protein kinase kinase kinase 6","9064"
"204635_at",1.21e-22,12.5423792,1.18861852,"RPS6KA5","ribosomal protein S6 kinase A5","9252"
"226034_at",1.22e-22,-12.5413981,-2.36910537,"DUSP4","dual specificity phosphatase 4","1846"
"221147_x_at",1.25e-22,12.5358426,0.98076927,"WWOX","WW domain containing oxidoreductase","51741"
"203716_s_at",1.26e-22,-12.5349433,-2.88329427,"DPP4","dipeptidyl peptidase 4","1803"
"219527_at",1.29e-22,12.5308235,1.42136868,"Mar-02","mitochondrial amidoxime reducing component 2","54996"
"204741_at",1.32e-22,-12.5263374,-0.71112999,"BICD1","BICD cargo adaptor 1","636"
"213189_at",1.32e-22,12.5261997,1.43941159,"MINA","MYC induced nuclear antigen","84864"
"231472_at",1.35e-22,12.5209696,1.27055218,"FBXO15","F-box protein 15","201456"
"1569785_at",1.38e-22,12.5174437,0.78976169,"LOC101927943","uncharacterized LOC101927943","101927943"
"224017_at",1.38e-22,12.517328,1.99199911,"TBX22","T-box 22","50945"
"228585_at",1.46e-22,-12.5057868,-3.05414021,"ENTPD1","ectonucleoside triphosphate diphosphohydrolase 1","953"
"231084_at",1.52e-22,12.4976684,1.27312689,"CFAP43","cilia and flagella associated protein 43","80217"
