"ID","P.Value","t","logFC","Gene.symbol","Gene.title","Gene.ID"
"202733_at",6.85e-09,-9.7336144,-1.67408011,"LOC101927705///P4HA2","uncharacterized LOC101927705///prolyl 4-hydroxylase subunit alpha 2","101927705///8974"
"205876_at",7.17e-09,9.7066815,1.7232108,"LIFR","leukemia inhibitory factor receptor alpha","3977"
"208161_s_at",7.55e-09,-9.6752509,-1.97389017,"ABCC3","ATP binding cassette subfamily C member 3","8714"
"203234_at",8.35e-09,-9.6151349,-1.99116242,"UPP1","uridine phosphorylase 1","7378"
"213422_s_at",9.75e-09,-9.5235189,-1.59216539,"MXRA8","matrix remodeling associated 8","54587"
"209396_s_at",1.01e-08,-9.5013699,-4.25488961,"CHI3L1","chitinase 3 like 1","1116"
"203889_at",1.05e-08,-9.4797521,-2.25734875,"SCG5","secretogranin V","6447"
"1569542_at",1.05e-08,9.478942,1.2653434,"ADGRA3","adhesion G protein-coupled receptor A3","166647"
"230900_at",1.07e-08,9.4705613,1.36669041,"CCDC110","coiled-coil domain containing 110","256309"
"211163_s_at",1.07e-08,-9.4668807,-1.30725923,"TNFRSF10C","TNF receptor superfamily member 10c","8794"
"235871_at",1.1e-08,-9.4497529,-1.28211039,"LIPH","lipase H","200879"
"231954_at",1.17e-08,9.4147468,0.52999446,"MIR4453///DKFZP434I0714","microRNA 4453///uncharacterized protein DKFZP434I0714","100616193///54553"
"91703_at",1.24e-08,-9.3811502,-0.96041525,"EHBP1L1","EH domain binding protein 1 like 1","254102"
"214044_at",1.28e-08,9.3616145,1.69593806,"RYR2","ryanodine receptor 2","6262"
"202071_at",1.3e-08,-9.3560537,-1.96848192,"SDC4","syndecan 4","6385"
"211343_s_at",1.33e-08,-9.3412585,-1.89492706,"COL13A1","collagen type XIII alpha 1 chain","1305"
"202180_s_at",1.39e-08,-9.317033,-1.37777412,"MVP","major vault protein","9961"
"1552790_a_at",1.44e-08,9.2941857,0.94332928,"SEC62","SEC62 homolog, preprotein translocation factor","7095"
"203409_at",1.54e-08,-9.2541433,-1.22361926,"DDB2","damage specific DNA binding protein 2","1643"
"206912_at",1.6e-08,9.2327137,1.01632893,"FOXE1","forkhead box E1","2304"
"209035_at",1.78e-08,-9.1703624,-1.43941862,"MDK","midkine (neurite growth-promoting factor 2)","4192"
"209641_s_at",1.79e-08,-9.1680402,-1.52494598,"ABCC3","ATP binding cassette subfamily C member 3","8714"
"240770_at",2.01e-08,9.1010758,1.79413345,"TMEM171","transmembrane protein 171","134285"
"202637_s_at",2.18e-08,-9.0563403,-1.49896663,"ICAM1","intercellular adhesion molecule 1","3383"
"235534_at",2.33e-08,-9.0163865,-0.93432092,"PHLDA3","pleckstrin homology like domain family A member 3","23612"
"207808_s_at",2.53e-08,-8.9709827,-2.49519905,"PROS1","protein S (alpha)","5627"
"204328_at",2.62e-08,-8.9499621,-1.71575461,"TMC6","transmembrane channel like 6","11322"
"205485_at",2.62e-08,-8.9493239,-2.14922355,"RYR1","ryanodine receptor 1","6261"
"202528_at",2.83e-08,-8.9063362,-2.30095276,"GALE","UDP-galactose-4-epimerase","2582"
"230252_at",3.01e-08,-8.8721835,-2.76758255,"LPAR5","lysophosphatidic acid receptor 5","57121"
"227677_at",3.38e-08,-8.8056281,-1.22918031,"JAK3","Janus kinase 3","3718"
"208002_s_at",3.42e-08,-8.7995926,-1.11987787,"ACOT7","acyl-CoA thioesterase 7","11332"
"227240_at",3.59e-08,-8.7732209,-2.76541969,"NGEF","neuronal guanine nucleotide exchange factor","25791"
"206571_s_at",3.61e-08,-8.7693149,-0.82432661,"MAP4K4","mitogen-activated protein kinase kinase kinase kinase 4","9448"
"225334_at",3.72e-08,8.7525197,0.70933622,"BORCS7","BLOC-1 related complex subunit 7","119032"
"239297_at",3.82e-08,8.7374476,1.65341338,"LOC101927137///KIAA1456","uncharacterized LOC101927137///KIAA1456","101927137///57604"
"213679_at",4.07e-08,8.7019969,1.62735001,"TTC30A","tetratricopeptide repeat domain 30A","92104"
"205481_at",4.22e-08,-8.6822308,-1.68909347,"ADORA1","adenosine A1 receptor","134"
"202458_at",4.39e-08,-8.659616,-1.37750685,"PRSS23","protease, serine 23","11098"
"235561_at",4.5e-08,8.6459695,1.17964892,"TXNL1","thioredoxin like 1","9352"
"222240_s_at",4.53e-08,-8.6419706,-0.92241333,"ISYNA1","inositol-3-phosphate synthase 1","51477"
"236360_at",4.84e-08,8.6062754,1.3873872,"LINC00982","long intergenic non-protein coding RNA 982","440556"
"226899_at",5.09e-08,-8.5784641,-0.93257514,"UNC5B","unc-5 netrin receptor B","219699"
"226804_at",5.23e-08,-8.5631068,-2.6034937,"FAM20A","family with sequence similarity 20 member A","54757"
"206906_at",5.47e-08,-8.5378695,-1.06279364,"ICAM5","intercellular adhesion molecule 5","7087"
"218086_at",5.61e-08,-8.5242142,-1.1121286,"NPDC1","neural proliferation, differentiation and control 1","56654"
"222871_at",6.24e-08,-8.466008,-1.05965509,"KLHDC8A","kelch domain containing 8A","55220"
"202286_s_at",6.42e-08,-8.4500655,-3.56267878,"TACSTD2","tumor-associated calcium signal transducer 2","4070"
"236561_at",6.51e-08,-8.4420288,-1.58180599,"TGFBR1","transforming growth factor beta receptor 1","7046"
"211725_s_at",6.72e-08,-8.4247948,-1.58866043,"BID","BH3 interacting domain death agonist","637"
"203716_s_at",6.8e-08,-8.4187187,-2.15499613,"DPP4","dipeptidyl peptidase 4","1803"
"217047_s_at",7.07e-08,8.3972255,0.99169934,"FAM13A","family with sequence similarity 13 member A","10144"
"222921_s_at",7.31e-08,-8.379033,-1.05645212,"HEY2","hes related family bHLH transcription factor with YRPW motif 2","23493"
"209270_at",7.32e-08,-8.3786373,-2.45466381,"LAMB3","laminin subunit beta 3","3914"
"229778_at",7.37e-08,8.3744267,2.97196236,"SPX","spexin hormone","80763"
"201482_at",7.76e-08,-8.3466793,-0.85896506,"QSOX1","quiescin sulfhydryl oxidase 1","5768"
"243837_x_at",7.87e-08,-8.3389747,-0.90025553,"","",""
"202973_x_at",8.04e-08,8.3273522,0.9080167,"FAM13A","family with sequence similarity 13 member A","10144"
"202391_at",8.06e-08,-8.3255376,-1.51566642,"BASP1","brain abundant membrane attached signal protein 1","10409"
"213133_s_at",8.33e-08,8.3081703,1.34434897,"LOC101060817///GCSH","glycine cleavage system H protein, mitochondrial-like///glycine cleavage system protein H","101060817///2653"
"218847_at",8.84e-08,-8.2759952,-1.11204284,"IGF2BP2","insulin like growth factor 2 mRNA binding protein 2","10644"
"204017_at",8.85e-08,-8.2753793,-0.84613523,"KDELR3","KDEL endoplasmic reticulum protein retention receptor 3","11015"
"229372_at",9.02e-08,-8.2645797,-1.57443204,"GOLT1A","golgi transport 1A","127845"
"242093_at",9.44e-08,-8.2402481,-2.90790692,"SYTL5","synaptotagmin like 5","94122"
"201136_at",9.77e-08,-8.2218654,-1.04942705,"PLP2","proteolipid protein 2","5355"
"210038_at",9.97e-08,8.2108347,1.04724141,"PRKCQ","protein kinase C theta","5588"
"225646_at",1.01e-07,-8.2010983,-1.94067663,"CTSC","cathepsin C","1075"
"242344_at",1.05e-07,-8.182024,-4.77734841,"GABRB2","gamma-aminobutyric acid type A receptor beta2 subunit","2561"
"224916_at",1.1e-07,-8.1554942,-1.36746562,"TMEM173","transmembrane protein 173","340061"
"238992_at",1.15e-07,8.1342483,1.29080623,"POLI","DNA polymerase iota","11201"
"242269_at",1.18e-07,8.1193314,1.52301448,"LINC00982","long intergenic non-protein coding RNA 982","440556"
"226814_at",1.2e-07,-8.110232,-2.07409632,"ADAMTS9","ADAM metallopeptidase with thrombospondin type 1 motif 9","56999"
"243607_at",1.21e-07,-8.1058761,-0.66522779,"","",""
"218313_s_at",1.24e-07,-8.0933763,-1.78553539,"GALNT7","polypeptide N-acetylgalactosaminyltransferase 7","51809"
"204015_s_at",1.29e-07,-8.0739947,-1.43950917,"DUSP4","dual specificity phosphatase 4","1846"
"37408_at",1.29e-07,-8.0709535,-1.35052194,"MRC2","mannose receptor C type 2","9902"
"38671_at",1.32e-07,-8.059406,-0.7543291,"PLXND1","plexin D1","23129"
"221073_s_at",1.35e-07,-8.0491123,-1.59696787,"NOD1","nucleotide binding oligomerization domain containing 1","10392"
"219700_at",1.37e-07,-8.0398196,-0.89186248,"PLXDC1","plexin domain containing 1","57125"
"230158_at",1.41e-07,8.0244455,1.86840767,"DPY19L2","dpy-19 like 2","283417"
"221577_x_at",1.43e-07,-8.0193138,-3.48424428,"GDF15","growth differentiation factor 15","9518"
"229770_at",1.49e-07,-7.9950968,-1.08559862,"GLT1D1","glycosyltransferase 1 domain containing 1","144423"
"237248_at",1.5e-07,7.9907978,0.88473084,"PDE11A","phosphodiesterase 11A","50940"
"209610_s_at",1.53e-07,-7.982973,-0.69028985,"SLC1A4","solute carrier family 1 member 4","6509"
"227134_at",1.54e-07,-7.9778631,-1.81879329,"SYTL1","synaptotagmin like 1","84958"
"200788_s_at",1.56e-07,-7.972259,-0.52288926,"PEA15","phosphoprotein enriched in astrocytes 15","8682"
"217733_s_at",1.56e-07,-7.9709504,-0.71761189,"TMSB10","thymosin beta 10","9168"
"210605_s_at",1.57e-07,-7.968875,-1.68630175,"MFGE8","milk fat globule-EGF factor 8 protein","4240"
"227771_at",1.58e-07,7.9629222,1.55393528,"LIFR","leukemia inhibitory factor receptor alpha","3977"
"213308_at",1.61e-07,7.9534456,1.93787169,"SHANK2","SH3 and multiple ankyrin repeat domains 2","22941"
"219029_at",1.67e-07,7.9367608,1.48713999,"TMEM267","transmembrane protein 267","64417"
"203685_at",1.69e-07,7.9274463,1.54795709,"BCL2","BCL2, apoptosis regulator","596"
"217875_s_at",1.79e-07,-7.8973393,-0.70006185,"PMEPA1","prostate transmembrane protein, androgen induced 1","56937"
"239841_at",1.8e-07,-7.8957742,-1.73183338,"","",""
"203349_s_at",1.81e-07,-7.8916513,-1.51397089,"ETV5","ETS variant 5","2119"
"242273_at",1.91e-07,7.8638293,0.9672918,"LLPH","LLP homolog, long-term synaptic facilitation","84298"
"229860_x_at",2e-07,-7.8395009,-2.00631488,"C4orf48","chromosome 4 open reading frame 48","401115"
"233691_at",2.03e-07,-7.8318978,-1.36029149,"","",""
"1555352_at",2.07e-07,7.8230901,0.98274816,"FOXP2","forkhead box P2","93986"
"1553559_at",2.08e-07,7.8199802,1.7021815,"TMEM171","transmembrane protein 171","134285"
"236640_at",2.1e-07,-7.8154651,-1.27205175,"LOC100507165","uncharacterized LOC100507165","100507165"
"212235_at",2.18e-07,-7.7947154,-0.76588996,"PLXND1","plexin D1","23129"
"204084_s_at",2.18e-07,7.7939496,0.89248708,"CLN5","ceroid-lipofuscinosis, neuronal 5","1203"
"236065_at",2.26e-07,-7.7764824,-2.06169654,"","",""
"212992_at",2.3e-07,-7.7662158,-2.91500327,"AHNAK2","AHNAK nucleoprotein 2","113146"
"204042_at",2.37e-07,7.7505445,1.42195071,"WASF3","WAS protein family member 3","10810"
"227212_s_at",2.51e-07,-7.7214661,-0.83857527,"PHF19","PHD finger protein 19","26147"
"203960_s_at",2.52e-07,7.7198583,1.1602117,"HSPB11","heat shock protein family B (small) member 11","51668"
"209737_at",2.53e-07,7.7174271,1.2698206,"MAGI2","membrane associated guanylate kinase, WW and PDZ domain containing 2","9863"
"219643_at",2.58e-07,7.7063359,2.87807052,"LRP1B","LDL receptor related protein 1B","53353"
"212888_at",2.6e-07,7.7027359,0.99248955,"DICER1","dicer 1, ribonuclease III","23405"
"232424_at",2.65e-07,7.6932227,1.63791166,"PRDM16","PR/SET domain 16","63976"
"1552711_a_at",2.67e-07,7.6887431,0.86064464,"CYB5D1","cytochrome b5 domain containing 1","124637"
"33323_r_at",2.77e-07,-7.6699624,-1.52111422,"SFN","stratifin","2810"
"227143_s_at",2.8e-07,-7.6645453,-1.46432434,"BID","BH3 interacting domain death agonist","637"
"224820_at",2.84e-07,7.6572077,0.8313538,"COX20","COX20, cytochrome c oxidase assembly factor","116228"
"215692_s_at",2.84e-07,7.6563904,2.32342045,"MPPED2","metallophosphoesterase domain containing 2","744"
"1554609_at",2.86e-07,7.6541828,0.77699145,"LOC100287896","uncharacterized LOC100287896","100287896"
"227417_at",2.87e-07,7.6517912,1.40874411,"Mar-02","mitochondrial amidoxime reducing component 2","54996"
"241017_at",2.89e-07,7.6487083,1.21928817,"TBC1D8///RPL31","TBC1 domain family member 8///ribosomal protein L31","11138///6160"
"218424_s_at",2.9e-07,-7.6471314,-0.82029238,"STEAP3","STEAP3 metalloreductase","55240"
"219725_at",2.97e-07,-7.6330896,-0.89882374,"TREM2","triggering receptor expressed on myeloid cells 2","54209"
"203413_at",3.07e-07,-7.6163369,-1.77866171,"NELL2","neural EGFL like 2","4753"
"215380_s_at",3.14e-07,-7.6043489,-1.51991935,"GGCT","gamma-glutamylcyclotransferase","79017"
"215346_at",3.16e-07,-7.6021619,-0.58106319,"CD40","CD40 molecule","958"
"213129_s_at",3.19e-07,7.5962338,1.21054274,"LOC101060817///GCSH","glycine cleavage system H protein, mitochondrial-like///glycine cleavage system protein H","101060817///2653"
"222498_at",3.2e-07,7.5948995,0.74665895,"AZI2","5-azacytidine induced 2","64343"
"206574_s_at",3.23e-07,-7.5906061,-1.36221861,"PTP4A3","protein tyrosine phosphatase type IVA, member 3","11156"
"227353_at",3.3e-07,-7.5794666,-1.42418349,"TMC8","transmembrane channel like 8","147138"
"243172_at",3.36e-07,-7.5696138,-1.61542814,"","",""
"209992_at",3.37e-07,7.5682662,1.27809421,"PFKFB2","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2","5208"
"241898_at",3.38e-07,-7.5674776,-2.19588867,"LIPH","lipase H","200879"
"222294_s_at",3.42e-07,-7.5608621,-1.65097559,"RAB27A","RAB27A, member RAS oncogene family","5873"
"237083_at",3.49e-07,7.5512462,0.89169856,"","",""
"229893_at",3.64e-07,-7.5287941,-1.7146462,"FRMD3","FERM domain containing 3","257019"
"225979_at",3.74e-07,-7.5146162,-0.65986741,"PLEKHG2","pleckstrin homology and RhoGEF domain containing G2","64857"
"224252_s_at",3.77e-07,-7.5103088,-1.48420864,"FXYD5","FXYD domain containing ion transport regulator 5","53827"
"230526_at",3.79e-07,-7.5082469,-1.69031478,"TNRC6C-AS1","TNRC6C antisense RNA 1","100131096"
"222877_at",3.81e-07,-7.505465,-1.80801425,"NRP2","neuropilin 2","8828"
"212814_at",3.87e-07,7.4979083,0.83482398,"AHCYL2","adenosylhomocysteinase like 2","23382"
"209695_at",3.87e-07,-7.4972514,-1.22180215,"PTP4A3","protein tyrosine phosphatase type IVA, member 3","11156"
"227439_at",3.91e-07,7.4922186,0.80669854,"ANKS1B","ankyrin repeat and sterile alpha motif domain containing 1B","56899"
"227088_at",4.03e-07,-7.4771949,-1.978332,"PDE5A","phosphodiesterase 5A","8654"
"232696_at",4.04e-07,7.4759328,1.27199514,"","",""
"213103_at",4.04e-07,7.4759132,1.55309755,"STARD13","StAR related lipid transfer domain containing 13","90627"
"202826_at",4.11e-07,-7.4667912,-1.29275504,"SPINT1","serine peptidase inhibitor, Kunitz type 1","6692"
"236114_at",4.23e-07,-7.4515879,-1.69548811,"","",""
"214252_s_at",4.26e-07,7.4480619,1.01581228,"CLN5","ceroid-lipofuscinosis, neuronal 5","1203"
"206595_at",4.29e-07,-7.4446853,-2.81171168,"CST6","cystatin E/M","1474"
"222173_s_at",4.3e-07,-7.4438994,-1.3807307,"TBC1D2","TBC1 domain family member 2","55357"
"227410_at",4.3e-07,-7.4430485,-1.88045892,"FAM43A","family with sequence similarity 43 member A","131583"
"209228_x_at",4.34e-07,-7.438577,-2.2487419,"TUSC3","tumor suppressor candidate 3","7991"
"235392_at",4.37e-07,7.4354697,0.9246156,"","",""
"203165_s_at",4.38e-07,7.4343586,1.02291756,"SLC33A1","solute carrier family 33 member 1","9197"
"228107_at",4.4e-07,7.4317223,1.00893468,"C8orf88","chromosome 8 open reading frame 88","100127983"
"204401_at",4.45e-07,-7.4258925,-1.85918205,"KCNN4","potassium calcium-activated channel subfamily N member 4","3783"
"238784_at",4.46e-07,7.4254638,1.85569773,"DPY19L2","dpy-19 like 2","283417"
"238007_at",4.48e-07,7.4224564,0.60735234,"ZNF271P","zinc finger protein 271, pseudogene","10778"
"226638_at",4.63e-07,-7.406028,-0.88860976,"ARHGAP23","Rho GTPase activating protein 23","57636"
"226733_at",4.64e-07,7.4047879,1.03972194,"PFKFB2","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2","5208"
"220512_at",4.67e-07,-7.4015931,-1.02940589,"DLC1","DLC1 Rho GTPase activating protein","10395"
"209514_s_at",4.68e-07,-7.4004106,-1.2299017,"RAB27A","RAB27A, member RAS oncogene family","5873"
"215111_s_at",4.7e-07,-7.3985829,-0.94685306,"TSC22D1","TSC22 domain family member 1","8848"
"203386_at",4.72e-07,7.3956347,1.48692881,"TBC1D4","TBC1 domain family member 4","9882"
"33322_i_at",4.8e-07,-7.3878246,-1.64418807,"SFN","stratifin","2810"
"222450_at",4.8e-07,-7.387772,-0.86847636,"PMEPA1","prostate transmembrane protein, androgen induced 1","56937"
"203786_s_at",4.81e-07,-7.3868053,-1.21608784,"TPD52L1","tumor protein D52-like 1","7164"
"236783_at",4.85e-07,7.3819139,1.12231131,"KCNIP4","potassium voltage-gated channel interacting protein 4","80333"
"232770_at",4.87e-07,-7.3798568,-0.4645831,"TUSC3","tumor suppressor candidate 3","7991"
"228715_at",4.93e-07,-7.3734808,-3.80573226,"ZCCHC12","zinc finger CCHC-type containing 12","170261"
"219743_at",4.98e-07,-7.3691247,-1.48068043,"HEY2","hes related family bHLH transcription factor with YRPW motif 2","23493"
"204446_s_at",5.01e-07,-7.3656705,-3.00022814,"ALOX5","arachidonate 5-lipoxygenase","240"
"239963_at",5.14e-07,7.3523311,1.31084171,"","",""
"212310_at",5.15e-07,7.3517616,0.79441273,"MIA3","MIA family member 3, ER export factor","375056"
"237400_at",5.26e-07,7.3405774,1.08635008,"ATP5S","ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)","27109"
"220751_s_at",5.27e-07,7.3400581,1.34849432,"FAXDC2","fatty acid hydroxylase domain containing 2","10826"
"213839_at",5.27e-07,7.3399076,1.76017639,"CLMN","calmin","79789"
"229441_at",5.33e-07,-7.3344891,-0.82871834,"PRSS23","protease, serine 23","11098"
"214632_at",5.46e-07,-7.3220605,-0.98735776,"NRP2","neuropilin 2","8828"
"231788_at",5.62e-07,-7.3074793,-1.23618733,"LPAR5","lysophosphatidic acid receptor 5","57121"
"203148_s_at",5.63e-07,-7.3060638,-1.22248942,"TRIM14","tripartite motif containing 14","9830"
"205640_at",5.67e-07,-7.3028181,-1.08957486,"ALDH3B1","aldehyde dehydrogenase 3 family member B1","221"
"201976_s_at",5.7e-07,7.3003809,0.8948514,"MYO10","myosin X","4651"
"203510_at",5.77e-07,-7.2939289,-1.90481405,"MET","MET proto-oncogene, receptor tyrosine kinase","4233"
"218084_x_at",5.82e-07,-7.2893663,-1.53710257,"FXYD5","FXYD domain containing ion transport regulator 5","53827"
"209286_at",6.07e-07,-7.2682199,-1.37205716,"CDC42EP3","CDC42 effector protein 3","10602"
"209001_s_at",6.1e-07,7.266339,0.57713439,"ANAPC13","anaphase promoting complex subunit 13","25847"
"208847_s_at",6.1e-07,7.2661507,0.65947781,"ADH5","alcohol dehydrogenase 5 (class III), chi polypeptide","128"
"242979_at",6.12e-07,7.2644177,1.80221217,"IRS1","insulin receptor substrate 1","3667"
"243278_at",6.33e-07,7.2470031,2.55943688,"FOXP2","forkhead box P2","93986"
"210473_s_at",6.44e-07,7.238976,1.66208419,"ADGRA3","adhesion G protein-coupled receptor A3","166647"
"215495_s_at",6.53e-07,-7.2318693,-1.01765082,"SAMD4A","sterile alpha motif domain containing 4A","23034"
"239576_at",6.57e-07,-7.2287115,-1.07835166,"MTUS1","microtubule associated tumor suppressor 1","57509"
"204274_at",6.65e-07,7.2221909,0.67954154,"EBAG9","estrogen receptor binding site associated, antigen, 9","9166"
"218024_at",6.66e-07,7.2214452,0.78944145,"MPC1","mitochondrial pyruvate carrier 1","51660"
"228370_at",6.84e-07,7.2079533,0.94252204,"LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///IPW","uncharacterized LOC101930404///small nucleolar RNA, C/D box 116-28///small nucleolar RNA, C/D box 115-26///small nucleolar RNA, C/D box 115-13///small nucleolar RNA, C/D box 115-7///small nucleolar RNA, C/D box 116-22///small nucleolar RNA, C/D box 116-4///Prader Willi/Angelman region RNA, SNRPN neighbor///small nucleolar RNA, C/D box 107///imprinted in Prader-Willi syndrome (non-protein coding)","101930404///100033820///100033802///100033450///100033444///100033433///100033416///347746///91380///3653"
"227221_at",6.85e-07,-7.2075872,-1.43880949,"ZMAT3","zinc finger matrin-type 3","64393"
"227719_at",7.09e-07,7.1905318,1.94453346,"SMAD9","SMAD family member 9","4093"
"229866_at",7.09e-07,-7.1903887,-1.80079549,"STK32A","serine/threonine kinase 32A","202374"
"224240_s_at",7.1e-07,7.1891648,0.81488065,"CCL28","C-C motif chemokine ligand 28","56477"
"225996_at",7.12e-07,-7.1884488,-1.8625404,"LONRF2","LON peptidase N-terminal domain and ring finger 2","164832"
"219949_at",7.16e-07,7.1854933,1.31761945,"LRRC2","leucine rich repeat containing 2","79442"
"205479_s_at",7.29e-07,-7.1759741,-2.17194397,"PLAU","plasminogen activator, urokinase","5328"
"228502_at",7.34e-07,7.1725525,1.11404353,"RPS6KA6","ribosomal protein S6 kinase A6","27330"
"226599_at",7.39e-07,7.1692323,1.14003561,"FHDC1","FH2 domain containing 1","85462"
"225575_at",7.47e-07,7.1640196,2.33474327,"LIFR","leukemia inhibitory factor receptor alpha","3977"
"214862_x_at",7.62e-07,7.1542414,1.01216758,"TET1","tet methylcytosine dioxygenase 1","80312"
"200859_x_at",7.63e-07,-7.1530826,-0.8662911,"FLNA","filamin A","2316"
"220161_s_at",7.7e-07,7.1486599,0.95452995,"EPB41L4B","erythrocyte membrane protein band 4.1 like 4B","54566"
"235629_at",7.73e-07,-7.1467174,-3.83436308,"","",""
"60474_at",7.79e-07,7.1432623,0.82663346,"FERMT1","fermitin family member 1","55612"
"212573_at",7.81e-07,-7.1416224,-1.26498847,"ENDOD1","endonuclease domain containing 1","23052"
"212242_at",7.9e-07,-7.1359537,-1.14925828,"TUBA4A","tubulin alpha 4a","7277"
"1554588_a_at",7.93e-07,7.1341618,1.0472313,"TTC30B","tetratricopeptide repeat domain 30B","150737"
"208758_at",8.25e-07,-7.1142312,-0.93904852,"ATIC","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","471"
