Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005615~extracellular space	41	15.64885496	5.91E-04	"213071_AT, 227760_AT, 219181_AT, 204018_X_AT, 209555_S_AT, 223235_S_AT, 209335_AT, 228766_AT, 205051_S_AT, 209458_X_AT, 214433_S_AT, 210342_S_AT, 213258_AT, 228407_AT, 206159_AT, 202709_AT, 223475_AT, 229178_AT, 201843_S_AT, 213068_AT, 211696_X_AT, 211699_X_AT, 208454_S_AT, 208399_S_AT, 229778_AT, 205498_AT, 231181_AT, 222722_AT, 205290_S_AT, 229168_AT, 204932_AT, 239183_AT, 214414_X_AT, 226492_AT, 217232_X_AT, 211596_S_AT, 224027_AT, 229073_AT, 209116_X_AT, 205382_S_AT, 203240_AT, 230673_AT, 204304_S_AT, 217414_X_AT, 206488_S_AT, 204623_AT, 231773_AT, 223395_AT, 204606_AT, 205289_AT, 204359_AT, 201842_S_AT, 230782_AT, 220203_AT, 211745_X_AT"	247	1970	20624	1.737775129	0.152095685	0.032987743	0.031923622
GOTERM_BP_DIRECT	GO:0007605~sensory perception of sound	9	3.435114504	6.40E-04	"242883_AT, 223582_AT, 202908_AT, 211596_S_AT, 231771_AT, 230673_AT, 205710_AT, 206529_X_AT, 230863_AT, 220177_S_AT, 231181_AT"	230	160	19414	4.74798913	0.667346946	0.12683722	0.125878566
GOTERM_BP_DIRECT	GO:0008015~blood circulation	5	1.908396947	6.62E-04	"242680_AT, 238835_AT, 209687_AT, 206201_S_AT, 208399_S_AT, 241017_AT"	230	34	19414	12.41304348	0.680080455	0.12683722	0.125878566
GOTERM_BP_DIRECT	GO:0006590~thyroid hormone generation	4	1.526717557	6.64E-04	"206457_S_AT, 203700_S_AT, 231240_AT, 203699_S_AT, 208454_S_AT, 210342_S_AT"	230	15	19414	22.50898551	0.680792512	0.12683722	0.125878566
GOTERM_MF_DIRECT	GO:0005041~low-density lipoprotein receptor activity	4	1.526717557	7.68E-04	"228766_AT, 219643_AT, 205710_AT, 206488_S_AT, 230863_AT, 209822_S_AT, 209555_S_AT"	236	15	18945	21.40677966	0.316308935	0.150040497	0.1476156
GOTERM_BP_DIRECT	GO:0015671~oxygen transport	4	1.526717557	8.10E-04	"214735_AT, 217414_X_AT, 211696_X_AT, 211699_X_AT, 214414_X_AT, 209458_X_AT, 204018_X_AT, 217232_X_AT, 209116_X_AT, 211745_X_AT"	230	16	19414	21.10217391	0.751756057	0.127954318	0.126987222
GOTERM_BP_DIRECT	GO:1903237~negative regulation of leukocyte tethering or rolling	3	1.145038168	8.18E-04	"224027_AT, 204606_AT, 209687_AT"	230	4	19414	63.30652174	0.75538597	0.127954318	0.126987222
GOTERM_BP_DIRECT	GO:0006882~cellular zinc ion homeostasis	5	1.908396947	9.18E-04	"217546_AT, 210524_X_AT, 204745_X_AT, 213629_X_AT, 206461_X_AT, 217165_X_AT, 213664_AT"	230	37	19414	11.40658049	0.793820737	0.128966927	0.127992177
GOTERM_MF_DIRECT	GO:0005344~oxygen transporter activity	4	1.526717557	9.36E-04	"214735_AT, 217414_X_AT, 211696_X_AT, 211699_X_AT, 214414_X_AT, 209458_X_AT, 204018_X_AT, 217232_X_AT, 209116_X_AT, 211745_X_AT"	236	16	18945	20.06885593	0.371091272	0.150040497	0.1476156
GOTERM_BP_DIRECT	GO:0010273~detoxification of copper ion	4	1.526717557	9.75E-04	"217546_AT, 210524_X_AT, 204745_X_AT, 213629_X_AT, 206461_X_AT, 217165_X_AT"	230	17	19414	19.86086957	0.813138522	0.128966927	0.127992177
GOTERM_MF_DIRECT	GO:0004601~peroxidase activity	5	1.908396947	0.001105253	"214735_AT, 217414_X_AT, 211696_X_AT, 211699_X_AT, 214414_X_AT, 209458_X_AT, 204018_X_AT, 217232_X_AT, 210342_S_AT, 209116_X_AT, 211745_X_AT"	236	37	18945	10.84803023	0.421549919	0.150040497	0.1476156
GOTERM_MF_DIRECT	GO:0043565~sequence-specific DNA binding	13	4.961832061	0.001212448	"222670_S_AT, 235201_AT, 207981_S_AT, 206201_S_AT, 204754_AT, 232424_AT, 219195_AT, 204755_X_AT, 201693_S_AT, 204753_S_AT, 230536_AT, 205249_AT, 243278_AT, 209189_AT, 203685_AT, 218559_S_AT, 213920_AT"	236	342	18945	3.051404996	0.451477025	0.150040497	0.1476156
GOTERM_BP_DIRECT	GO:0030185~nitric oxide transport	3	1.145038168	0.001353242	"217414_X_AT, 211696_X_AT, 211699_X_AT, 214414_X_AT, 209458_X_AT, 204018_X_AT, 217232_X_AT, 209116_X_AT, 211745_X_AT"	230	5	19414	50.64521739	0.902621736	0.156526863	0.155343811
GOTERM_BP_DIRECT	GO:0045926~negative regulation of growth	4	1.526717557	0.00136506	"217546_AT, 210524_X_AT, 204745_X_AT, 213629_X_AT, 206461_X_AT, 217165_X_AT"	230	19	19414	17.77025172	0.904583801	0.156526863	0.155343811
GOTERM_BP_DIRECT	GO:1902476~chloride transmembrane transport	7	2.671755725	0.001537404	"227830_AT, 227690_AT, 1552827_S_AT, 1554748_AT, 223741_S_AT, 239006_AT, 206529_X_AT, 229313_AT, 1552826_AT, 213664_AT"	230	105	19414	5.627246377	0.929091841	0.165270936	0.164021795
GOTERM_MF_DIRECT	GO:0005201~extracellular matrix structural constituent	8	3.053435115	0.00169365	"226145_S_AT, 213071_AT, 201843_S_AT, 229168_AT, 213068_AT, 210764_S_AT, 201842_S_AT, 202350_S_AT, 223395_AT, 204955_AT"	236	138	18945	4.653647752	0.567886775	0.167671377	0.164961537
GOTERM_BP_DIRECT	GO:0010460~positive regulation of heart rate	4	1.526717557	0.001841331	"242680_AT, 238835_AT, 208399_S_AT, 214044_AT, 213664_AT"	230	21	19414	16.07784679	0.957996742	0.186299335	0.184891258
GOTERM_CC_DIRECT	GO:0005887~integral component of plasma membrane	31	11.83206107	0.002013056	"225575_AT, 238835_AT, 1552827_S_AT, 226228_AT, 206529_X_AT, 225571_AT, 208228_S_AT, 209555_S_AT, 227830_AT, 227771_AT, 203908_AT, 228766_AT, 1554748_AT, 205051_S_AT, 206070_S_AT, 239006_AT, 221874_AT, 203638_S_AT, 222953_AT, 235746_S_AT, 219054_AT, 210342_S_AT, 226248_S_AT, 205357_S_AT, 205876_AT, 229151_AT, 204304_S_AT, 207415_AT, 206488_S_AT, 231070_AT, 227526_AT, 210194_AT, 206517_AT, 205498_AT, 1552826_AT, 242680_AT, 230425_AT, 227690_AT, 204359_AT, 229839_AT, 219059_S_AT, 226492_AT, 214053_AT, 213664_AT"	247	1438	20624	1.800025902	0.430051166	0.08204589	0.079399248
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	86	32.82442748	0.002058499	"219643_AT, 229024_AT, 213411_AT, 204719_AT, 209555_S_AT, 208228_S_AT, 227318_AT, 240770_AT, 228956_AT, 1554748_AT, 210473_S_AT, 206070_S_AT, 225567_AT, 205710_AT, 235746_S_AT, 210342_S_AT, 209656_S_AT, 205357_S_AT, 228667_AT, 205876_AT, 228108_AT, 229616_S_AT, 211696_X_AT, 229302_AT, 227394_AT, 227874_AT, 210194_AT, 205498_AT, 214044_AT, 220723_S_AT, 230964_AT, 230425_AT, 229168_AT, 227070_AT, 207789_S_AT, 226492_AT, 229313_AT, 217232_X_AT, 213664_AT, 211596_S_AT, 226228_AT, 206529_X_AT, 225424_AT, 225571_AT, 227771_AT, 213308_AT, 203908_AT, 216944_S_AT, 219054_AT, 209822_S_AT, 220724_AT, 218888_S_AT, 209469_AT, 226145_S_AT, 229151_AT, 231240_AT, 230673_AT, 204304_S_AT, 203699_S_AT, 209470_S_AT, 228080_AT, 206488_S_AT, 231070_AT, 203710_AT, 202908_AT, 229032_AT, 219059_S_AT, 214053_AT, 243681_AT, 1552827_S_AT, 213839_AT, 224480_S_AT, 230863_AT, 230158_AT, 227830_AT, 1558487_A_AT, 228766_AT, 223296_AT, 205051_S_AT, 203638_S_AT, 220177_S_AT, 229178_AT, 206457_S_AT, 224325_AT, 231181_AT, 227690_AT, 231771_AT, 227417_AT, 209447_AT, 212843_AT, 225575_AT, 210471_S_AT, 238835_AT, 213558_AT, 238784_AT, 205084_AT, 227657_AT, 239006_AT, 221874_AT, 220751_S_AT, 222953_AT, 229073_AT, 226248_S_AT, 209116_X_AT, 222885_AT, 241672_AT, 223582_AT, 207415_AT, 206517_AT, 236038_AT, 1552826_AT, 228546_AT, 242680_AT, 210078_S_AT, 203700_S_AT, 213307_AT, 227753_AT, 203685_AT"	247	5394	20624	1.331261756	0.437246264	0.08204589	0.079399248
GOTERM_BP_DIRECT	GO:0035914~skeletal muscle cell differentiation	5	1.908396947	0.002260569	"201693_S_AT, 204753_S_AT, 207980_S_AT, 205249_AT, 204754_AT, 209189_AT, 209357_AT, 204755_X_AT"	230	47	19414	8.979648474	0.979607351	0.207675153	0.206105515
GOTERM_BP_DIRECT	GO:0006898~receptor-mediated endocytosis	6	2.290076336	0.002294086	"228766_AT, 219643_AT, 205710_AT, 207415_AT, 206488_S_AT, 230863_AT, 235746_S_AT, 209822_S_AT, 210194_AT, 219059_S_AT, 209555_S_AT"	230	78	19414	6.492976589	0.980752245	0.207675153	0.206105515
GOTERM_BP_DIRECT	GO:0071294~cellular response to zinc ion	4	1.526717557	0.003075661	"217546_AT, 210524_X_AT, 204745_X_AT, 213629_X_AT, 206461_X_AT, 217165_X_AT"	230	25	19414	13.5053913	0.994999861	0.264506875	0.262507696
GOTERM_CC_DIRECT	GO:0016020~membrane	62	23.66412214	0.003084423	"219643_AT, 229024_AT, 228885_AT, 230863_AT, 213411_AT, 204018_X_AT, 203911_AT, 209555_S_AT, 208228_S_AT, 227318_AT, 238692_AT, 209737_AT, 240770_AT, 209325_S_AT, 228766_AT, 225728_AT, 204513_S_AT, 210473_S_AT, 225567_AT, 205710_AT, 219735_S_AT, 203638_S_AT, 220177_S_AT, 209458_X_AT, 214433_S_AT, 205357_S_AT, 206457_S_AT, 219619_AT, 211699_X_AT, 229302_AT, 227394_AT, 205498_AT, 224325_AT, 231181_AT, 214044_AT, 220723_S_AT, 227070_AT, 207789_S_AT, 214414_X_AT, 209447_AT, 227642_AT, 209189_AT, 212843_AT, 213664_AT, 229177_AT, 213558_AT, 233720_AT, 202920_AT, 226228_AT, 206529_X_AT, 241017_AT, 205084_AT, 227657_AT, 228973_AT, 203908_AT, 216944_S_AT, 203766_S_AT, 220751_S_AT, 209822_S_AT, 204288_S_AT, 220724_AT, 230031_AT, 241672_AT, 223582_AT, 214745_AT, 231240_AT, 230673_AT, 203699_S_AT, 217414_X_AT, 228080_AT, 206488_S_AT, 203710_AT, 1558815_AT, 204955_AT, 236038_AT, 228546_AT, 203700_S_AT, 206806_AT, 228570_AT, 227753_AT, 219059_S_AT, 203685_AT, 230782_AT, 211745_X_AT"	247	3653	20624	1.417156993	0.577634395	0.107569261	0.104099285
GOTERM_MF_DIRECT	GO:0005096~GTPase activator activity	11	4.198473282	0.00337351	"201466_S_AT, 203474_AT, 203387_S_AT, 241017_AT, 212224_AT, 240236_AT, 203911_AT, 209325_S_AT, 223422_S_AT, 244675_AT, 201465_S_AT, 203386_AT, 213103_AT, 221030_S_AT"	236	289	18945	3.055465955	0.812262466	0.257791696	0.253625366
GOTERM_BP_DIRECT	GO:0042744~hydrogen peroxide catabolic process	4	1.526717557	0.003844279	"217414_X_AT, 211696_X_AT, 211699_X_AT, 214414_X_AT, 209458_X_AT, 204018_X_AT, 217232_X_AT, 210342_S_AT, 209116_X_AT, 211745_X_AT"	230	27	19414	12.50499195	0.998673091	0.31486479	0.312484998
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	10	3.816793893	0.003948751	"202709_AT, 201843_S_AT, 203240_AT, 229168_AT, 211596_S_AT, 204932_AT, 204359_AT, 210764_S_AT, 201842_S_AT, 202350_S_AT, 222722_AT"	247	258	20624	3.236355648	0.668418736	0.122411272	0.118462521
GOTERM_MF_DIRECT	GO:0047023~androsterone dehydrogenase activity	3	1.145038168	0.004083886	"211653_X_AT, 205700_AT, 209699_X_AT, 216594_X_AT, 37512_AT, 204151_X_AT"	236	8	18945	30.1032839	0.868093623	0.257791696	0.253625366
GOTERM_MF_DIRECT	GO:0004714~transmembrane receptor protein tyrosine kinase activity	5	1.908396947	0.00419925	"230425_AT, 205051_S_AT, 206070_S_AT, 203638_S_AT, 208228_S_AT, 214053_AT"	236	53	18945	7.573153182	0.875444691	0.257791696	0.253625366
GOTERM_BP_DIRECT	GO:0071280~cellular response to copper ion	4	1.526717557	0.004268502	"217546_AT, 210524_X_AT, 204745_X_AT, 213629_X_AT, 206461_X_AT, 217165_X_AT"	230	28	19414	12.05838509	0.999362233	0.333719229	0.331196933
GOTERM_BP_DIRECT	GO:0042403~thyroid hormone metabolic process	3	1.145038168	0.004722155	"206457_S_AT, 203700_S_AT, 231240_AT, 203699_S_AT, 231070_AT"	230	9	19414	28.13623188	0.999708754	0.33842108	0.335863246
GOTERM_BP_DIRECT	GO:2000669~negative regulation of dendritic cell apoptotic process	3	1.145038168	0.004722155	"204606_AT, 209687_AT, 203685_AT"	230	9	19414	28.13623188	0.999708754	0.33842108	0.335863246
GOTERM_MF_DIRECT	GO:0008430~selenium binding	3	1.145038168	0.005207913	"206457_S_AT, 203700_S_AT, 231240_AT, 203699_S_AT, 214433_S_AT"	236	9	18945	26.75847458	0.924577764	0.257791696	0.253625366
GOTERM_MF_DIRECT	"GO:0047044~androstan-3-alpha,17-beta-diol dehydrogenase activity"	3	1.145038168	0.005207913	"211653_X_AT, 205700_AT, 209699_X_AT, 216594_X_AT, 37512_AT, 204151_X_AT"	236	9	18945	26.75847458	0.924577764	0.257791696	0.253625366
GOTERM_BP_DIRECT	GO:1901522~positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	3	1.145038168	0.005856982	"201466_S_AT, 205289_AT, 201465_S_AT, 227719_AT, 205290_S_AT"	230	10	19414	25.3226087	0.999959069	0.402960379	0.399914749
GOTERM_CC_DIRECT	GO:0005783~endoplasmic reticulum	25	9.541984733	0.006045561	"228885_AT, 228241_AT, 224480_S_AT, 230863_AT, 204719_AT, 231944_AT, 228956_AT, 1558487_A_AT, 216944_S_AT, 205710_AT, 220177_S_AT, 213258_AT, 228667_AT, 220724_AT, 230031_AT, 205700_AT, 204304_S_AT, 236783_AT, 208454_S_AT, 203710_AT, 204955_AT, 222722_AT, 37512_AT, 220723_S_AT, 230425_AT, 202908_AT, 203685_AT, 209189_AT, 213664_AT"	247	1157	20624	1.804191351	0.815817979	0.168671156	0.163230151
GOTERM_BP_DIRECT	GO:0043552~positive regulation of phosphatidylinositol 3-kinase activity	4	1.526717557	0.006243173	"204606_AT, 205051_S_AT, 204686_AT, 214053_AT, 242979_AT"	230	32	19414	10.55108696	0.99997902	0.413009881	0.409888295
GOTERM_MF_DIRECT	GO:0031720~haptoglobin binding	3	1.145038168	0.006456884	"217414_X_AT, 211696_X_AT, 211699_X_AT, 214414_X_AT, 209458_X_AT, 204018_X_AT, 217232_X_AT, 209116_X_AT, 211745_X_AT"	236	10	18945	24.08262712	0.959502724	0.266346445	0.262041856
GOTERM_MF_DIRECT	GO:0043177~organic acid binding	3	1.145038168	0.006456884	"217414_X_AT, 211696_X_AT, 211699_X_AT, 214414_X_AT, 209458_X_AT, 204018_X_AT, 217232_X_AT, 209116_X_AT, 211745_X_AT"	236	10	18945	24.08262712	0.959502724	0.266346445	0.262041856
GOTERM_CC_DIRECT	GO:0005576~extracellular region	40	15.26717557	0.006766988	"227760_AT, 219181_AT, 228885_AT, 204018_X_AT, 208228_S_AT, 209335_AT, 206070_S_AT, 203638_S_AT, 235746_S_AT, 209458_X_AT, 213258_AT, 242883_AT, 202709_AT, 223475_AT, 201843_S_AT, 229831_AT, 210764_S_AT, 211696_X_AT, 211699_X_AT, 208454_S_AT, 208399_S_AT, 227394_AT, 227874_AT, 210194_AT, 229778_AT, 205498_AT, 222722_AT, 205290_S_AT, 230425_AT, 204932_AT, 235182_AT, 214414_X_AT, 217232_X_AT, 212843_AT, 226228_AT, 206214_AT, 224027_AT, 209687_AT, 231084_AT, 209116_X_AT, 205382_S_AT, 222885_AT, 217414_X_AT, 207415_AT, 204623_AT, 223395_AT, 204606_AT, 205289_AT, 201842_S_AT, 202350_S_AT, 214053_AT, 220203_AT, 211745_X_AT"	247	2184	20624	1.529266954	0.849592432	0.168782686	0.163338083
GOTERM_BP_DIRECT	GO:0048662~negative regulation of smooth muscle cell proliferation	4	1.526717557	0.006808503	"205289_AT, 219054_AT, 219195_AT, 222722_AT, 205290_S_AT"	230	33	19414	10.23135705	0.999992116	0.418236583	0.415075493
GOTERM_BP_DIRECT	GO:0001523~retinoid metabolic process	4	1.526717557	0.006808503	"209612_S_AT, 205710_AT, 209613_S_AT, 230863_AT, 216594_X_AT, 212224_AT, 204151_X_AT"	230	33	19414	10.23135705	0.999992116	0.418236583	0.415075493
GOTERM_CC_DIRECT	GO:0031838~haptoglobin-hemoglobin complex	3	1.145038168	0.00725947	"217414_X_AT, 211696_X_AT, 211699_X_AT, 214414_X_AT, 209458_X_AT, 204018_X_AT, 217232_X_AT, 209116_X_AT, 211745_X_AT"	247	11	20624	22.77217519	0.869029038	0.168782686	0.163338083
GOTERM_BP_DIRECT	GO:0007275~multicellular organism development	7	2.671755725	0.007299324	"205350_AT, 205051_S_AT, 204753_S_AT, 206201_S_AT, 208399_S_AT, 203638_S_AT, 204754_AT, 208228_S_AT, 214053_AT, 204755_X_AT"	230	144	19414	4.103200483	0.999996631	0.430489128	0.427235431
GOTERM_MF_DIRECT	GO:0016491~oxidoreductase activity	9	3.435114504	0.007366138	"209612_S_AT, 205700_AT, 209613_S_AT, 205083_AT, 231070_AT, 220751_S_AT, 219077_S_AT, 212224_AT, 230782_AT, 231944_AT, 37512_AT"	236	226	18945	3.19680891	0.974260639	0.272583175	0.268177791
GOTERM_BP_DIRECT	GO:0007411~axon guidance	8	3.053435115	0.007508531	"230425_AT, 229178_AT, 206070_S_AT, 209687_AT, 204359_AT, 208399_S_AT, 210038_AT, 226492_AT, 229073_AT"	230	190	19414	3.554050343	0.999997655	0.430489128	0.427235431
GOTERM_MF_DIRECT	GO:0061629~RNA polymerase II sequence-specific DNA binding transcription factor binding	8	3.053435115	0.007709423	"219778_AT, 219179_AT, 201466_S_AT, 209292_AT, 201465_S_AT, 207980_S_AT, 205249_AT, 219195_AT, 209189_AT, 209357_AT, 209293_X_AT"	236	182	18945	3.528590054	0.978311014	0.272583175	0.268177791
GOTERM_BP_DIRECT	GO:0050873~brown fat cell differentiation	4	1.526717557	0.008027877	"203980_AT, 203700_S_AT, 231240_AT, 203699_S_AT, 232424_AT, 219195_AT"	230	35	19414	9.646708075	0.999999047	0.445417717	0.442051188
GOTERM_BP_DIRECT	GO:0042446~hormone biosynthetic process	3	1.145038168	0.008457899	"206457_S_AT, 203700_S_AT, 231240_AT, 203699_S_AT, 210342_S_AT"	230	12	19414	21.10217391	0.999999548	0.450237792	0.446834832
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	8	3.053435115	0.008638283	"222885_AT, 223582_AT, 229178_AT, 226228_AT, 227526_AT, 227874_AT, 203685_AT, 209656_S_AT, 228973_AT, 229073_AT"	230	195	19414	3.462920847	0.999999669	0.450237792	0.446834832
GOTERM_BP_DIRECT	GO:0018108~peptidyl-tyrosine phosphorylation	5	1.908396947	0.009419694	"201843_S_AT, 205051_S_AT, 206070_S_AT, 203638_S_AT, 201842_S_AT, 208228_S_AT, 214053_AT"	230	70	19414	6.029192547	0.999999915	0.461076924	0.45759204
GOTERM_BP_DIRECT	GO:0033674~positive regulation of kinase activity	5	1.908396947	0.009891792	"230425_AT, 205051_S_AT, 206070_S_AT, 203638_S_AT, 208228_S_AT, 214053_AT"	230	71	19414	5.944274342	0.999999962	0.461076924	0.45759204
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	25	9.541984733	0.009909357	"209292_AT, 207980_S_AT, 204754_AT, 208228_S_AT, 209335_AT, 201693_S_AT, 219735_S_AT, 203638_S_AT, 243386_AT, 209293_X_AT, 222670_S_AT, 219778_AT, 201466_S_AT, 207981_S_AT, 210764_S_AT, 206201_S_AT, 219077_S_AT, 227526_AT, 219195_AT, 232424_AT, 229778_AT, 204755_X_AT, 205290_S_AT, 214162_AT, 205289_AT, 204753_S_AT, 201465_S_AT, 205249_AT, 227642_AT, 219093_AT, 209189_AT, 209357_AT, 209242_AT, 218559_S_AT"	230	1222	19414	1.726855476	0.999999964	0.461076924	0.45759204
GOTERM_BP_DIRECT	GO:0016024~CDP-diacylglycerol biosynthetic process	3	1.145038168	0.009918515	"224480_S_AT, 225424_AT, 228667_AT"	230	13	19414	19.47892977	0.999999964	0.461076924	0.45759204
GOTERM_MF_DIRECT	GO:0019838~growth factor binding	4	1.526717557	0.010732817	"225575_AT, 227771_AT, 205876_AT, 205051_S_AT, 210764_S_AT, 225571_AT, 205498_AT"	236	37	18945	8.678424187	0.995211129	0.337877769	0.332417118
